date,deposit,deposited,equity,tqqq_value,bond_value,cash,transaction_cost,turnover,buy_count,sell_count,tqqq_units,deployed_principal,principal_wait_days,profit,roi
2021-09-16,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-09-17,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-09-20,100.0,200.0,197.0510938565907,197.0510938565907,0.0,0.0,0.09995002498750626,199.9000499750125,1,0,6.196220133315083,200.0,400.0,-2.948906143409289,-0.014744530717046445
2021-09-21,0.0,200.0,197.30197383284425,197.30197383284425,0.0,0.0,0.0,0.0,0,0,6.196220133315083,0.0,0.0,-2.6980261671557457,-0.013490130835778729
2021-09-22,0.0,200.0,203.07374967243553,203.07374967243553,0.0,0.0,0.0,0.0,0,0,6.196220133315083,0.0,0.0,3.0737496724355253,0.015368748362177626
2021-09-23,0.0,200.0,208.71261632543607,208.71261632543607,0.0,0.0,0.0,0.0,0,0,6.196220133315083,0.0,0.0,8.712616325436073,0.04356308162718037
2021-09-24,0.0,200.0,209.30310846475828,209.30310846475828,0.0,0.0,0.0,0.0,0,0,6.196220133315083,0.0,0.0,9.303108464758282,0.04651554232379141
2021-09-27,100.0,300.0,304.2546866776719,204.2546866776719,0.0,100.0,0.0,0.0,0,0,6.196220133315083,0.0,0.0,4.254686677671884,0.014182288925572948
2021-09-28,0.0,300.0,287.21993865372735,187.21993865372738,0.0,100.0,0.0,0.0,0,0,6.196220133315083,0.0,0.0,-12.780061346272646,-0.04260020448757549
2021-09-29,0.0,300.0,284.39121878298533,284.39121878298533,0.0,0.0,0.04997501249375313,99.95002498750625,1,0,9.474948324936346,100.0,200.0,-15.608781217014666,-0.05202927072338222
2021-09-30,0.0,300.0,281.1859274453858,281.1859274453858,0.0,0.0,0.0,0.0,0,0,9.474948324936346,0.0,0.0,-18.8140725546142,-0.06271357518204733
2021-10-01,0.0,300.0,286.3098538916759,286.3098538916759,0.0,0.0,0.0,0.0,0,0,9.474948324936346,0.0,0.0,-13.690146108324086,-0.04563382036108029
2021-10-04,100.0,400.0,368.70330542798615,268.70330542798615,0.0,100.0,0.0,0.0,0,0,9.474948324936346,0.0,0.0,-31.29669457201385,-0.07824173643003463
2021-10-05,0.0,400.0,382.032451517122,382.032451517122,0.0,0.0,0.04997501249375313,99.95002498750625,1,0,12.972039990430948,100.0,100.0,-17.967548482877987,-0.04491887120719497
2021-10-06,0.0,400.0,389.57298419313923,389.57298419313923,0.0,0.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,-10.427015806860766,-0.026067539517151916
2021-10-07,0.0,400.0,400.11118318438895,400.11118318438895,0.0,0.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,0.11118318438894903,0.0002779579609723726
2021-10-08,0.0,400.0,393.9613354978092,393.9613354978092,0.0,0.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,-6.038664502190784,-0.01509666125547696
2021-10-11,100.0,500.0,485.2155358996922,385.2155358996922,0.0,100.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,-14.784464100307787,-0.029568928200615574
2021-10-12,0.0,500.0,481.2907297633662,381.2907297633662,0.0,100.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,-18.709270236633813,-0.03741854047326763
2021-10-13,0.0,500.0,490.2219474288208,390.2219474288208,0.0,100.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,-9.778052571179217,-0.019556105142358435
2021-10-14,0.0,500.0,511.76194006406973,411.76194006406973,0.0,100.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,11.761940064069734,0.02352388012813947
2021-10-15,0.0,500.0,519.3951322893502,419.3951322893502,0.0,100.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,19.39513228935016,0.038790264578700315
2021-10-18,100.0,600.0,631.972880536908,431.97288053690795,0.0,200.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,31.97288053690795,0.05328813422817992
2021-10-19,0.0,600.0,641.460476115389,441.46047611538904,0.0,200.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,41.46047611538904,0.06910079352564841
2021-10-20,0.0,600.0,640.0697663837489,440.0697663837489,0.0,200.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,40.069766383748856,0.06678294397291476
2021-10-21,0.0,600.0,647.950355894232,447.950355894232,0.0,200.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,47.95035589423196,0.07991725982371993
2021-10-22,0.0,600.0,636.6085301579697,436.6085301579696,0.0,200.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,36.60853015796965,0.06101421692994942
2021-10-25,100.0,700.0,749.7117533073308,449.71175330733087,0.0,300.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,49.71175330733081,0.07101679043904402
2021-10-26,0.0,700.0,753.9146123180551,453.91461231805505,0.0,300.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,53.914612318055106,0.07702087474007872
2021-10-27,0.0,700.0,757.499460588726,457.49946058872604,0.0,300.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,57.49946058872604,0.08214208655532292
2021-10-28,0.0,700.0,772.518670433909,472.51867043390905,0.0,300.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,72.51867043390905,0.10359810061987007
2021-10-29,0.0,700.0,779.502899423508,479.502899423508,0.0,300.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,79.50289942350798,0.1135755706050114
2021-11-01,100.0,800.0,884.2313323048467,484.23133230484666,0.0,400.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,84.23133230484666,0.10528916538105833
2021-11-02,0.0,800.0,890.6900863926421,490.69008639264206,0.0,400.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,90.69008639264212,0.11336260799080264
2021-11-03,0.0,800.0,906.2656494086489,506.2656494086488,0.0,400.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,106.26564940864887,0.13283206176081108
2021-11-04,0.0,800.0,925.1478098833064,525.1478098833064,0.0,400.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,125.14780988330642,0.15643476235413303
2021-11-05,0.0,800.0,927.0948233013648,527.0948233013648,0.0,400.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,127.09482330136484,0.15886852912670604
2021-11-08,100.0,900.0,1024.931563031354,524.9315630313541,0.0,500.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,124.93156303135402,0.13881284781261558
2021-11-09,0.0,900.0,1014.1151627124898,514.1151627124898,0.0,500.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,114.11516271248979,0.12679462523609977
2021-11-10,0.0,900.0,991.5863479447153,491.58634794471527,0.0,500.0,0.0,0.0,0,0,12.972039990430948,0.0,0.0,91.58634794471527,0.10176260882746141
2021-11-11,0.0,900.0,987.9841569478422,987.9841569478422,0.0,0.0,0.24987506246876565,499.75012493753127,1,0,25.86132074456884,500.0,8500.0,87.98415694784217,0.0977601743864913
2021-11-12,0.0,900.0,1019.3438100989425,1019.3438100989425,0.0,0.0,0.0,0.0,0,0,25.86132074456884,0.0,0.0,119.34381009894253,0.13260423344326946
2021-11-15,100.0,1000.0,1119.035716437881,1019.0357164378811,0.0,100.0,0.0,0.0,0,0,25.86132074456884,0.0,0.0,119.03571643788109,0.11903571643788109
2021-11-16,0.0,1000.0,1140.106639489904,1040.106639489904,0.0,100.0,0.0,0.0,0,0,25.86132074456884,0.0,0.0,140.10663948990396,0.14010663948990396
2021-11-17,0.0,1000.0,1141.3388168279307,1041.3388168279307,0.0,100.0,0.0,0.0,0,0,25.86132074456884,0.0,0.0,141.3388168279307,0.1413388168279307
2021-11-18,0.0,1000.0,1173.1912422611322,1073.1912422611322,0.0,100.0,0.0,0.0,0,0,25.86132074456884,0.0,0.0,173.19124226113217,0.17319124226113217
2021-11-19,0.0,1000.0,1191.366400589128,1091.366400589128,0.0,100.0,0.0,0.0,0,0,25.86132074456884,0.0,0.0,191.36640058912803,0.19136640058912804
2021-11-22,100.0,1100.0,1253.5374711275042,1053.5374711275042,0.0,200.0,0.0,0.0,0,0,25.86132074456884,0.0,0.0,153.5374711275042,0.13957951920682202
2021-11-23,0.0,1100.0,1238.1622444346976,1238.1622444346976,0.0,0.0,0.09995002498750626,199.9000499750125,1,0,30.81317795189833,200.0,900.0,138.16224443469764,0.12560204039517966
2021-11-24,0.0,1100.0,1249.6137483744626,1249.6137483744626,0.0,0.0,0.0,0.0,0,0,30.81317795189833,0.0,0.0,149.6137483744626,0.13601249852223873
2021-11-26,0.0,1100.0,1180.6840966268346,1180.6840966268346,0.0,0.0,0.0,0.0,0,0,30.81317795189833,0.0,0.0,80.68409662683462,0.07334917875166784
2021-11-29,100.0,1200.0,1356.7529887325466,1356.7529887325466,0.0,0.0,0.04997501249375313,99.95002498750625,1,0,33.33752215059397,100.0,0.0,156.75298873254656,0.13062749061045545
2021-11-30,0.0,1200.0,1298.457344053332,1298.457344053332,0.0,0.0,0.0,0.0,0,0,33.33752215059397,0.0,0.0,98.45734405333201,0.08204778671111
2021-12-01,0.0,1200.0,1231.8231221421677,1231.8231221421677,0.0,0.0,0.0,0.0,0,0,33.33752215059397,0.0,0.0,31.823122142167676,0.026519268451806396
2021-12-02,0.0,1200.0,1255.014182024752,1255.014182024752,0.0,0.0,0.0,0.0,0,0,33.33752215059397,0.0,0.0,55.01418202475202,0.04584515168729335
2021-12-03,0.0,1200.0,1191.9537632426923,1191.9537632426923,0.0,0.0,0.0,0.0,0,0,33.33752215059397,0.0,0.0,-8.046236757307724,-0.006705197297756437
2021-12-06,100.0,1300.0,1321.7718166776908,1321.7718166776908,0.0,0.0,0.04997501249375313,99.95002498750625,1,0,36.123537467490294,100.0,0.0,21.771816677690822,0.0167475512905314
2021-12-07,0.0,1300.0,1440.9625133161057,1440.9625133161057,0.0,0.0,0.0,0.0,0,0,36.123537467490294,0.0,0.0,140.96251331610574,0.10843270255085057
2021-12-08,0.0,1300.0,1461.0143948432221,1461.0143948432221,0.0,0.0,0.0,0.0,0,0,36.123537467490294,0.0,0.0,161.01439484322214,0.12385722680247857
2021-12-09,0.0,1300.0,1397.9335242282432,1397.9335242282432,0.0,0.0,0.0,0.0,0,0,36.123537467490294,0.0,0.0,97.93352422824319,0.07533348017557168
2021-12-10,0.0,1300.0,1441.2207511899999,1441.2207511899999,0.0,0.0,0.0,0.0,0,0,36.123537467490294,0.0,0.0,141.22075118999987,0.10863134706923067
2021-12-13,100.0,1400.0,1479.2588194949888,1379.2588194949888,0.0,100.0,0.0,0.0,0,0,36.123537467490294,0.0,0.0,79.25881949498876,0.056613442496420543
2021-12-14,0.0,1400.0,1439.0539060518508,1439.0539060518508,0.0,0.0,0.04997501249375313,99.95002498750625,1,0,38.84574145954512,100.0,100.0,39.053906051850845,0.02789564717989346
2021-12-15,0.0,1400.0,1534.2814233588392,1534.2814233588392,0.0,0.0,0.0,0.0,0,0,38.84574145954512,0.0,0.0,134.28142335883922,0.09591530239917087
2021-12-16,0.0,1400.0,1417.2136975976614,1417.2136975976614,0.0,0.0,0.0,0.0,0,0,38.84574145954512,0.0,0.0,17.213697597661394,0.012295498284043853
2021-12-17,0.0,1400.0,1395.5582755188993,1395.5582755188993,0.0,0.0,0.0,0.0,0,0,38.84574145954512,0.0,0.0,-4.441724481100664,-0.0031726603436433316
2021-12-20,100.0,1500.0,1453.821153339755,1353.821153339755,0.0,100.0,0.0,0.0,0,0,38.84574145954512,0.0,0.0,-46.17884666024497,-0.030785897773496648
2021-12-21,0.0,1500.0,1544.3289865590414,1444.3289865590414,0.0,100.0,0.0,0.0,0,0,38.84574145954512,0.0,0.0,44.32898655904137,0.02955265770602758
2021-12-22,0.0,1500.0,1595.875790588163,1495.875790588163,0.0,100.0,0.0,0.0,0,0,38.84574145954512,0.0,0.0,95.875790588163,0.063917193725442
2021-12-23,0.0,1500.0,1631.4125667202863,1531.4125667202863,0.0,100.0,0.0,0.0,0,0,38.84574145954512,0.0,0.0,131.41256672028635,0.08760837781352424
2021-12-27,100.0,1600.0,1804.6146446434263,1604.6146446434263,0.0,200.0,0.0,0.0,0,0,38.84574145954512,0.0,0.0,204.61464464342635,0.12788415290214147
2021-12-28,0.0,1600.0,1785.735908292619,1585.735908292619,0.0,200.0,0.0,0.0,0,0,38.84574145954512,0.0,0.0,185.7359082926189,0.1160849426828868
2021-12-29,0.0,1600.0,1783.236624404921,1583.236624404921,0.0,200.0,0.0,0.0,0,0,38.84574145954512,0.0,0.0,183.23662440492103,0.11452289025307565
2021-12-30,0.0,1600.0,1768.4297084422415,1568.4297084422415,0.0,200.0,0.0,0.0,0,0,38.84574145954512,0.0,0.0,168.42970844224146,0.10526856777640091
2021-12-31,0.0,1600.0,1739.2785092867978,1539.2785092867978,0.0,200.0,0.0,0.0,0,0,38.84574145954512,0.0,0.0,139.27850928679777,0.0870490683042486
2022-01-03,100.0,1700.0,1883.6997017290676,1583.6997017290676,0.0,300.0,0.0,0.0,0,0,38.84574145954512,0.0,0.0,183.69970172906756,0.1080586480759221
2022-01-04,0.0,1700.0,1822.1581331050538,1522.1581331050538,0.0,300.0,0.0,0.0,0,0,38.84574145954512,0.0,0.0,122.15813310505382,0.07185772535591402
2022-01-05,0.0,1700.0,1657.9285010217948,1657.9285010217948,0.0,0.0,0.14992503748125938,299.85007496251876,1,0,46.59693133862256,300.0,2700.0,-42.07149897820523,-0.02474794057541484
2022-01-06,0.0,1700.0,1653.376952926638,1653.376952926638,0.0,0.0,0.0,0.0,0,0,46.59693133862256,0.0,0.0,-46.62304707336193,-0.02742532180785996
2022-01-07,0.0,1700.0,1599.315632024635,1599.315632024635,0.0,0.0,0.0,0.0,0,0,46.59693133862256,0.0,0.0,-100.68436797536492,-0.05922609880903819
2022-01-10,100.0,1800.0,1709.6642021553243,1709.6642021553243,0.0,0.0,0.04997501249375313,99.95002498750625,1,0,49.62942915849725,100.0,0.0,-90.33579784467565,-0.05018655435815314
2022-01-11,0.0,1800.0,1784.861087173947,1784.861087173947,0.0,0.0,0.0,0.0,0,0,49.62942915849725,0.0,0.0,-15.138912826053001,-0.008410507125585
2022-01-12,0.0,1800.0,1805.197596959971,1805.197596959971,0.0,0.0,0.0,0.0,0,0,49.62942915849725,0.0,0.0,5.1975969599709515,0.0028875538666505284
