years,benchmark_leverage,minimum,p10,median,p90,maximum,half_budget_exceeds_full_benchmark
5,1,0.20786816578187725,0.7752220346910851,1.4317168175606763,2.378646006263399,2.73162498108184,68
5,2,0.4234986160474173,0.8563908334337501,1.1467506565373906,1.496641333424817,1.5877287195593108,0
10,1,0.23174709927754333,0.727404151317871,2.5029142699837283,5.488343062529508,6.898237799863639,139
10,2,0.4600910721940144,0.7843437182572117,1.4065647225081768,2.1824109857774014,2.557453793122314,44
