years,allocation,windows,worst_end_roi,median_end_roi,p10_end_roi,p90_end_roi,best_end_roi,worst_interim_loss,end_loss_over_30_count,negative_end_count,worst_start,worst_end,worst_contributed,worst_final_value,maximum_tqqq_market_weight
5,100_QLD,270,-0.6707708357560574,0.8967418981912477,-0.048645062072459416,1.7000775833404318,2.804273117799144,-0.8358115930322165,9,32,2003-12-01,2008-12-01,26200.0,8625.804103191294,0.0
5,100_QQQ,270,-0.3292474829163411,0.47574972704903984,0.04570184586270983,0.7218868710038379,1.1315086506108454,-0.5771282764321475,2,21,2003-12-01,2008-12-01,26200.0,17573.715947591863,0.0
5,100_TQQQ,270,-0.8605719045802426,1.1921650181192385,-0.16968402221904302,3.0457690416917957,4.822482277400627,-0.937056337889381,17,42,2003-12-01,2008-12-01,26200.0,3653.0160999976456,1.0
5,30_TQQQ_70_cash,270,-0.25817157137407276,0.35764950543577145,-0.050905206665712924,0.9137307125075386,1.4467446832201878,-0.28111690136681433,0,42,2003-12-01,2008-12-01,26200.0,19435.904829999294,0.7233651428289498
5,50_50_monthly_rebalance,270,-0.6661792750483497,0.90458816232161,-0.05616133443858196,1.7109555261535874,2.8271231412770548,-0.833391505182453,10,31,2003-12-01,2008-12-01,26200.0,8746.102993733239,0.6021060403558137
5,50_TQQQ_50_QQQ,270,-0.5949096937482918,0.8383974254513031,-0.045475839246489375,1.9093229466613297,2.976995464005736,-0.7482438929748239,9,35,2003-12-01,2008-12-01,26200.0,10613.366023794755,0.7394970660129194
5,50_TQQQ_50_cash,270,-0.43028595229012123,0.5960825090596192,-0.08484201110952147,1.5228845208458979,2.4112411387003134,-0.4685281689446905,7,42,2003-12-01,2008-12-01,26200.0,14926.508049998823,0.8591821288238698
5,50_TQQQ_only,270,-0.8605719045802426,1.1921650181192385,-0.16968402221904302,3.0457690416917957,4.822482277400627,-0.937056337889381,17,42,2003-12-01,2008-12-01,13100.0,1826.5080499988228,1.0
10,100_QLD,210,-0.6059697624619578,3.0828093146389035,0.3216185509686818,6.070917432705784,9.192621052751745,-0.8358115930322165,6,16,1999-04-01,2009-04-01,52300.0,20607.78142323961,0.0
10,100_QQQ,210,-0.2177257232953539,1.3041299144142693,0.4435556975722854,1.9859181320176487,2.5751940672859694,-0.5771282764321475,0,4,1999-04-01,2009-04-01,52300.0,40912.94467165299,0.0
10,100_TQQQ,210,-0.81871020553426,5.166661174364455,0.05010596696389429,15.143931770251646,23.289915152454743,-0.937056337889381,16,20,1999-04-01,2009-04-01,52300.0,9481.456250558203,1.0
10,30_TQQQ_70_cash,210,-0.24561306166027796,1.549998352309337,0.015031790089168252,4.543179531075493,6.986974545736422,-0.28111690136681433,0,20,1999-04-01,2009-04-01,52300.0,39454.43687516746,0.9166209591172749
10,50_50_monthly_rebalance,210,-0.6031510344198998,3.1315806967656665,0.34265195062705206,6.181047544658817,9.349888785278637,-0.833391505182453,6,16,1999-04-01,2009-04-01,52300.0,20755.20089983924,0.6021060403558137
10,50_TQQQ_50_QQQ,210,-0.5182179644148069,3.2457563282237842,0.24683083226808994,8.440785217794522,12.932554609870357,-0.7482438929748239,4,16,1999-04-01,2009-04-01,52300.0,25197.200461105596,0.8758672578108924
10,50_TQQQ_50_cash,210,-0.40935510276713005,2.5833305871822274,0.025052983481947146,7.571965885125823,11.644957576227371,-0.4685281689446905,4,20,1999-04-01,2009-04-01,52300.0,30890.7281252791,0.9624784025906136
10,50_TQQQ_only,210,-0.81871020553426,5.166661174364455,0.05010596696389429,15.143931770251646,23.289915152454743,-0.937056337889381,16,20,1999-04-01,2009-04-01,26150.0,4740.728125279102,1.0
