years,windows,negative_windows,loss_median_conditional,worst_end_loss,worst_interim_loss,end_loss_over_30_count
5,270,42,-0.24600370839897762,-0.8605719045802426,-0.9370563378893808,17
10,210,20,-0.42736904046326757,-0.81871020553426,-0.9370563378893808,16
