years,allocation,benchmark,median_wealth_ratio,minimum,maximum,win_count,windows
5,100_QQQ,100_QQQ,1.0,1.0,1.0,0,270
5,100_QQQ,100_QLD,0.794680554193047,0.5602932766940693,2.0373423436651086,58,270
5,100_QLD,100_QQQ,1.2583675781795023,0.4908355255607334,1.7847795816868584,212,270
5,100_QLD,100_QLD,1.0,1.0,1.0,0,270
5,100_TQQQ,100_QQQ,1.4317168175606765,0.20786816578187725,2.731624981081839,204,270
5,100_TQQQ,100_QLD,1.1467506565373906,0.4234986160474172,1.587728719559311,194,270
5,50_TQQQ_only,100_QQQ,0.7158584087803382,0.10393408289093863,1.3658124905409195,68,270
5,50_TQQQ_only,100_QLD,0.5733753282686953,0.2117493080237086,0.7938643597796555,0,270
5,50_TQQQ_50_QQQ,100_QQQ,1.2158584087803384,0.6039340828909386,1.8658124905409195,204,270
5,50_TQQQ_50_QQQ,100_QLD,0.9967206232078163,0.9049758271821091,1.230420479856263,128,270
5,50_50_monthly_rebalance,100_QQQ,1.2664549197573272,0.4976809127799589,1.7954996993234262,212,270
5,50_50_monthly_rebalance,100_QLD,1.0044756422170642,0.9815347004688644,1.0176810992797334,194,270
5,50_TQQQ_50_cash,100_QQQ,1.0394701640243613,0.7634399167295569,1.6003881277811018,152,270
5,50_TQQQ_50_cash,100_QLD,0.8863560161509659,0.7772215954740759,1.7304483004055764,24,270
5,30_TQQQ_70_cash,100_QQQ,0.9397888130319423,0.802824683324265,1.1854104443225286,96,270
5,30_TQQQ_70_cash,100_QLD,0.7396464020382939,0.6342813063455234,2.2532281741488402,29,270
10,100_QQQ,100_QQQ,1.0,1.0,1.0,0,210
10,100_QQQ,100_QLD,0.5651937561226129,0.3507629734081754,1.9853153443055758,30,210
10,100_QLD,100_QQQ,1.769312494386495,0.5036983181882273,2.8509280505964956,180,210
10,100_QLD,100_QLD,1.0,1.0,1.0,0,210
10,100_TQQQ,100_QQQ,2.5029142699837283,0.23174709927754333,6.898237799863641,173,210
10,100_TQQQ,100_QLD,1.4065647225081768,0.4600910721940144,2.5574537931223142,160,210
10,50_TQQQ_only,100_QQQ,1.2514571349918642,0.11587354963877167,3.4491188999318205,139,210
10,50_TQQQ_only,100_QLD,0.7032823612540884,0.2300455360970072,1.2787268965611571,44,210
10,50_TQQQ_50_QQQ,100_QQQ,1.7514571349918642,0.6158735496387716,3.9491188999318205,173,210
10,50_TQQQ_50_QQQ,100_QLD,1.0073235509282437,0.8984982174495905,1.464096977103529,109,210
10,50_50_monthly_rebalance,100_QQQ,1.789692079183109,0.5073015659569409,2.8949166368290404,183,210
10,50_50_monthly_rebalance,100_QLD,1.0130495584359607,0.9952467199781047,1.0210284885102061,198,210
10,50_TQQQ_50_cash,100_QQQ,1.4467981822364024,0.6724173462383588,3.620530739769309,156,210
10,50_TQQQ_50_cash,100_QLD,0.8712092639385355,0.7179423353755084,1.4989836844078377,66,210
10,30_TQQQ_70_cash,100_QQQ,1.0368503716694981,0.6919060471135122,2.3094479157315764,118,210
10,30_TQQQ_70_cash,100_QLD,0.6627623513499858,0.5302200239577849,1.9145407292933672,11,210
