years,window_start,actual_start,actual_end,allocation,weekly_budget,contributed,final_value,profit,roi,worst_interim_loss,terminal_tqqq_market_weight,maximum_tqqq_market_weight
5,1999-07-01,1999-07-01,2004-07-01,100_TQQQ,100.0,26200.0,20791.352912463783,-5408.647087536217,-0.2064369117380236,-0.934380359360333,1.0,1.0
5,1999-07-01,1999-07-01,2004-07-01,50_TQQQ_only,50.0,13100.0,10395.676456231891,-2704.3235437681087,-0.2064369117380236,-0.934380359360333,1.0,1.0
5,1999-07-01,1999-07-01,2004-07-01,50_TQQQ_50_QQQ,100.0,26200.0,22610.769847568525,-3589.2301524314753,-0.13699351726837694,-0.7443003779341554,0.45976658584890256,0.6965910603299729
5,1999-07-01,1999-07-01,2004-07-01,50_50_monthly_rebalance,100.0,26200.0,21146.815701192147,-5053.184298807853,-0.1928696297254906,-0.8252622428959985,0.49999999999998923,0.6017292321816288
5,1999-07-01,1999-07-01,2004-07-01,50_TQQQ_50_cash,100.0,26200.0,23495.676456231893,-2704.323543768107,-0.10321845586901168,-0.4671901796801665,0.44245061322652773,0.7877274012730021
5,1999-07-01,1999-07-01,2004-07-01,30_TQQQ_70_cash,100.0,26200.0,24577.405873739135,-1622.5941262608649,-0.06193107352140703,-0.28031410780809995,0.2537861768561905,0.6139586139481912
5,1999-08-01,1999-08-02,2004-07-30,100_QQQ,100.0,26100.0,23066.851890849826,-3033.1481091501737,-0.1162125712318074,-0.5710609004334867,0.0,0.0
5,1999-08-01,1999-08-02,2004-07-30,100_QLD,100.0,26100.0,19265.866378772313,-6834.133621227687,-0.2618442000470378,-0.827561898026541,0.0,0.0
5,1999-08-01,1999-08-02,2004-07-30,100_TQQQ,100.0,26100.0,17426.00162837603,-8673.99837162397,-0.3323371023610716,-0.9326859681425278,1.0,1.0
5,1999-08-01,1999-08-02,2004-07-30,50_TQQQ_only,50.0,13050.0,8713.000814188015,-4336.999185811985,-0.3323371023610716,-0.9326859681425278,1.0,1.0
5,1999-08-01,1999-08-02,2004-07-30,50_TQQQ_50_QQQ,100.0,26100.0,20246.42675961293,-5853.573240387072,-0.22427483679643956,-0.7420361319386485,0.43034758269387535,0.6879892848097352
5,1999-08-01,1999-08-02,2004-07-30,50_50_monthly_rebalance,100.0,26100.0,18941.851663476198,-7158.148336523802,-0.27425855695493495,-0.8214869017360271,0.4663637245077668,0.6015929593743288
5,1999-08-01,1999-08-02,2004-07-30,50_TQQQ_50_cash,100.0,26100.0,21763.000814188017,-4336.999185811983,-0.16616855118053575,-0.46634298407126396,0.4003584289032293,0.775065567753675
5,1999-08-01,1999-08-02,2004-07-30,30_TQQQ_70_cash,100.0,26100.0,23497.80048851281,-2602.1995114871897,-0.09970113070832143,-0.27980579044275833,0.22248041858507073,0.5962443797126927
5,1999-09-01,1999-09-01,2004-09-01,100_QQQ,100.0,26200.0,22974.514245836144,-3225.4857541638557,-0.12311014328869674,-0.5694210531925935,0.0,0.0
5,1999-09-01,1999-09-01,2004-09-01,100_QLD,100.0,26200.0,19024.789972478764,-7175.210027521236,-0.27386297814966554,-0.8287585654933544,0.0,0.0
5,1999-09-01,1999-09-01,2004-09-01,100_TQQQ,100.0,26200.0,16885.66708404685,-9314.33291595315,-0.3555088899218759,-0.9313890619792482,1.0,1.0
5,1999-09-01,1999-09-01,2004-09-01,50_TQQQ_only,50.0,13100.0,8442.833542023425,-4657.166457976575,-0.3555088899218759,-0.9313890619792482,1.0,1.0
