execution_date,signal_date,side,price,shares,notional,regime
2010-02-11,,buy,0.193475423912053,516.8615112866037,100.0,always
2010-02-16,,buy,0.21138140280937695,473.0785143392187,100.0,always
2010-02-22,,buy,0.22492785429884027,444.587000181576,100.0,always
2010-03-01,,buy,0.2239378572979734,446.55245525074065,100.0,always
2010-03-08,,buy,0.24652480590005005,405.63869276726484,100.0,always
2010-03-15,,buy,0.25940268377510833,385.5010231378175,100.0,always
2010-03-22,,buy,0.2609632380663914,383.19573569423255,100.0,always
2010-03-29,,buy,0.27673989141024735,361.35014540334936,100.0,always
2010-04-05,,buy,0.2769624874671516,361.0597265879201,100.0,always
2010-04-12,,buy,0.2905840195311221,344.1345472519689,100.0,always
2010-04-19,,buy,0.2958099827674827,338.05485218733673,100.0,always
2010-04-26,,buy,0.3167867704078039,315.669748049354,100.0,always
2010-05-03,,buy,0.2957110217978579,338.1679837025418,100.0,always
2010-05-10,,buy,0.2569509654447345,389.17931219646727,100.0,always
2010-05-17,,buy,0.24981813791018234,400.29119117024726,100.0,always
2010-05-24,,buy,0.2138578626933842,467.6002964799739,100.0,always
2010-06-01,,buy,0.22311991476173482,448.18948638801675,100.0,always
2010-06-07,,buy,0.21910849256495518,456.3949066025124,100.0,always
2010-06-14,,buy,0.2274794568411521,439.6001352765211,100.0,always
2010-06-21,,buy,0.2540036493437504,393.69513098871715,100.0,always
2010-06-28,,buy,0.21873667772639416,457.17069967152275,100.0,always
2010-07-06,,buy,0.18703603028278604,534.656343212624,100.0,always
2010-07-12,,buy,0.20642749516245917,484.4315914471551,100.0,always
2010-07-19,,buy,0.20432288060607817,489.42144758028246,100.0,always
2010-07-26,,buy,0.2274794635667597,439.6001222794005,100.0,always
2010-08-02,,buy,0.2310458454767774,432.81453424814373,100.0,always
2010-08-09,,buy,0.23978767499352338,417.03561287168316,100.0,always
2010-08-16,,buy,0.202836437754378,493.0080665343454,100.0,always
2010-08-23,,buy,0.21284216735626937,469.8317125882925,100.0,always
2010-08-30,,buy,0.19340030045977924,517.0622784052842,100.0,always
2010-09-07,,buy,0.21980183387310237,454.9552578243398,100.0,always
2010-09-13,,buy,0.23637061706033885,423.0644284118985,100.0,always
2010-09-20,,buy,0.2567036317000024,389.55428615386853,100.0,always
2010-09-27,,buy,0.28042990911325927,356.5953443275991,100.0,always
2010-10-04,,buy,0.26715453247774645,374.31519155801647,100.0,always
2010-10-11,,buy,0.28176705991968665,354.90308919894136,100.0,always
2010-10-18,,buy,0.3119079442817306,320.6074158524,100.0,always
2010-10-25,,buy,0.31713396670871125,315.3241547659585,100.0,always
2010-11-01,,buy,0.32691613317710766,305.8888499266102,100.0,always
2010-11-08,,buy,0.3496762454362109,285.97881985163997,100.0,always
2010-11-15,,buy,0.3340489556904151,299.3573196279545,100.0,always
2010-11-22,,buy,0.3230778300275425,309.5229406223106,100.0,always
2010-11-29,,buy,0.3306309570989184,302.4520174318763,100.0,always
2010-12-06,,buy,0.35257401310754577,283.62839086923,100.0,always
2010-12-13,,buy,0.3695394872347255,270.607075710103,100.0,always
2010-12-20,,buy,0.3690192541209399,270.98857006314006,100.0,always
2010-12-27,,buy,0.3686967512997235,271.2256065383861,100.0,always
2011-01-03,,buy,0.37597882303685143,265.972426830536,100.0,always
2011-01-10,,buy,0.39130844740417503,255.5528782048293,100.0,always
2011-01-18,,buy,0.4081749302757218,244.99299830210072,100.0,always
2011-01-24,,buy,0.3919770485654237,255.116977807718,100.0,always
2011-01-31,,buy,0.391333251755543,255.53668018599075,100.0,always
2011-02-07,,buy,0.4274428547388603,233.9494014026588,100.0,always
2011-02-14,,buy,0.44851951910313526,222.9557371326027,100.0,always
2011-02-22,,buy,0.4374238746040384,228.61120712837464,100.0,always
2011-02-28,,buy,0.433510380928159,230.67498357455,100.0,always
2011-03-07,,buy,0.4405441771439495,226.9919912420602,100.0,always
2011-03-14,,buy,0.3947264850999672,253.33998040358074,100.0,always
2011-03-21,,buy,0.3761518971153968,265.8500482567598,100.0,always
2011-03-28,,buy,0.41463913839717337,241.17356693957888,100.0,always
2011-04-04,,buy,0.42583267325143775,234.8340235061152,100.0,always
2011-04-11,,buy,0.4151839651553289,240.85708599701806,100.0,always
2011-04-18,,buy,0.39165565196050406,255.32632939019697,100.0,always
2011-04-25,,buy,0.441981201624009,226.2539665319736,100.0,always
2011-05-02,,buy,0.4597132043546549,217.5269255978408,100.0,always
2011-05-09,,buy,0.44500261440089994,224.7177808935537,100.0,always
2011-05-16,,buy,0.43524405572505237,229.7561533227944,100.0,always
2011-05-23,,buy,0.408397540776875,244.85945681694068,100.0,always
