strategy,contributed,final_value,xirr,twr_cagr,max_drawdown,volatility,sharpe,average_tqqq_weight,trades
QQQ only,96700.0,718098.0214776233,0.1937741715943352,0.19364757253787612,-0.3511920027209102,0.20645081701626194,0.9626999456578226,0.0,867.0
90% QQQ / 10% TQQQ,96700.0,978077.5553280361,0.22182063325046386,0.22317804707541455,-0.4175267739460654,0.2453353484712435,0.9459507920407698,0.10135570118614032,1242.0
80% QQQ / 20% TQQQ,96700.0,1313629.7210158256,0.248564628419366,0.25117827346163146,-0.4793654861799701,0.2842149578592916,0.9328216959802343,0.20172584973188454,1215.0
70% QQQ / 30% TQQQ,96700.0,1741638.4552309935,0.2741812539535352,0.27795511727525324,-0.5363515713016234,0.3234335352848501,0.9224566603201723,0.3018051447559719,1210.0
Trend 0% or 30% TQQQ,96700.0,1415296.922797392,0.255328671582714,0.25255618525181767,-0.4098297795645631,0.28540742622017035,0.9342818433051304,0.2523134479889896,1215.0
Volatility target 0-30% TQQQ,96700.0,1124319.0680324412,0.23445332725326862,0.23733946393450855,-0.4098132356870383,0.2691847465955394,0.9281186150668914,0.21522696907047967,1201.0
TQQQ only,96700.0,7795042.809349221,0.4130012370940971,0.42357536507223514,-0.8165988125904104,0.6112579724745423,0.8880313006838024,1.0,867.0
