bull_multiple,bear_multiple,dip_threshold,lump_cagr,lump_max_drawdown,dca_xirr,lump_trades,dca_trades
1.02,0.95,-0.005,0.3152150587710183,-0.6208707356996198,0.3284995365240756,21.0,519.0
1.02,0.95,-0.01,0.3152150587710183,-0.6208707356996198,0.328509419266802,21.0,353.0
1.02,0.95,-0.02,0.3152150587710183,-0.6208707356996198,0.3254220018977382,21.0,147.0
1.02,0.97,-0.005,0.3050326031865751,-0.6208707356996198,0.32916384237511187,29.0,506.0
1.02,0.97,-0.01,0.3050326031865751,-0.6208707356996198,0.3292810396991027,29.0,345.0
1.02,0.97,-0.02,0.3050326031865751,-0.6208707356996198,0.32771874341385343,29.0,146.0
1.02,0.99,-0.005,0.28698028922443886,-0.5922712510889019,0.32093679344857284,39.0,506.0
1.02,0.99,-0.01,0.28698028922443886,-0.5922712510889019,0.3210097343963906,39.0,350.0
1.02,0.99,-0.02,0.28698028922443886,-0.5922712510889019,0.31950851316599926,39.0,152.0
1.04,0.95,-0.005,0.28129258372558774,-0.6208707356996198,0.29776805119605065,21.0,503.0
1.04,0.95,-0.01,0.28129258372558774,-0.6208707356996198,0.2977709239524441,21.0,342.0
1.04,0.95,-0.02,0.28129258372558774,-0.6208707356996198,0.2955610955899185,21.0,145.0
1.04,0.97,-0.005,0.31476414412035747,-0.6208707356996198,0.32892326451182885,23.0,484.0
1.04,0.97,-0.01,0.31476414412035747,-0.6208707356996198,0.3289282960810881,23.0,327.0
1.04,0.97,-0.02,0.31476414412035747,-0.6208707356996198,0.32744529086298735,23.0,138.0
1.04,0.99,-0.005,0.30735320803174027,-0.532118602391264,0.3457465873652491,29.0,485.0
1.04,0.99,-0.01,0.30735320803174027,-0.532118602391264,0.34576201686426977,29.0,331.0
1.04,0.99,-0.02,0.30735320803174027,-0.532118602391264,0.34451414189903484,29.0,141.0
1.06,0.95,-0.005,0.2798533657481841,-0.6208707356996197,0.28958287576967245,19.0,496.0
1.06,0.95,-0.01,0.2798533657481841,-0.6208707356996197,0.2895224547471916,19.0,335.0
1.06,0.95,-0.02,0.2798533657481841,-0.6208707356996197,0.28734932139448366,19.0,140.0
1.06,0.97,-0.005,0.29983873017121265,-0.6208707356996198,0.3129571717424263,21.0,471.0
1.06,0.97,-0.01,0.29983873017121265,-0.6208707356996198,0.31290746892150867,21.0,317.0
1.06,0.97,-0.02,0.29983873017121265,-0.6208707356996198,0.31165466091459815,21.0,133.0
1.06,0.99,-0.005,0.2988942707017217,-0.5493132238935636,0.3226294973638023,25.0,470.0
1.06,0.99,-0.01,0.2988942707017217,-0.5493132238935636,0.3225569624889105,25.0,318.0
1.06,0.99,-0.02,0.2988942707017217,-0.5493132238935636,0.3214555657854913,25.0,134.0
