year_end,Strategy (initial bull entry),Strategy (strict triggers),Buy & hold TQQQ,Buy & hold QQQ
2010-12-31,0.44744192072173417,0.2973212750430152,0.8920336645000833,0.27674478419774085
2011-12-31,-0.23736729558620595,-0.23736729558620617,-0.08046908398540664,0.03475792643537945
2012-12-31,0.23064564788837272,0.23064564788837272,0.5228697321844307,0.18112511033185807
2013-12-31,1.1208407677991317,1.1208407677991317,1.3973340784406885,0.36634181491610907
2014-12-31,0.5709079550591443,0.570907955059144,0.5709079550591443,0.1918143446890319
2015-12-31,-0.25342891625735586,-0.25342891625735586,0.17230811297745907,0.09435887205595073
2016-12-31,-0.025757548683902898,-0.025757548683902787,0.11380537165804205,0.07097917253627628
2017-12-31,1.1806176471951382,1.1806176471951386,1.1806176471951386,0.32663542967111936
2018-12-31,0.1043349751315652,0.10433497513156498,-0.19787983076192095,-0.0012619043332485758
2019-12-31,0.535723812969144,0.535723812969144,1.3383374824279044,0.3896151094393383
2020-12-31,0.7997292687204769,0.7997292687204769,1.1005202323955698,0.48406087489281213
2021-12-31,0.8298128775919655,0.8298128775919658,0.8298128775919658,0.27419768552767065
2022-12-31,-0.3528158082161129,-0.352815808216113,-0.7909001532120377,-0.32577004787249186
2023-12-31,1.044294098151842,1.044294098151842,1.9804866465864492,0.5485557975099229
2024-12-31,0.5826774390224121,0.5826774390224121,0.5826774390224123,0.25578255243556947
2025-12-31,0.1419659527623871,0.1419659527623871,0.3435444163224288,0.2077254825855681
2026-12-31,-0.021536854241778647,-0.021536854241778536,0.2936072745896059,0.1498820104679297
