date,deposit,deposited,equity,tqqq_value,bond_value,cash,transaction_cost,turnover,buy_count,sell_count,tqqq_units,deployed_principal,principal_wait_days,profit,roi
2021-09-16,100.0,100.0,99.95002498750625,0.0,0.0,0.0,0.04997501249375313,99.95002498750625,1,0,0.0,0.0,0.0,-0.04997501249374636,-0.0004997501249374637
2021-09-17,0.0,100.0,97.58049183917893,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-2.419508160821067,-0.02419508160821067
2021-09-20,100.0,200.0,193.46671100407693,0.0,0.0,0.0,0.04997501249375313,99.95002498750625,1,0,0.0,0.0,0.0,-6.533288995923073,-0.032666444979615364
2021-09-21,0.0,200.0,193.84767372129284,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-6.152326278707164,-0.030761631393535823
2021-09-22,0.0,200.0,197.55598811810418,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-2.4440118818958183,-0.012220059409479091
2021-09-23,0.0,200.0,201.1626758347642,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.162675834764201,0.005813379173821005
2021-09-24,0.0,200.0,201.49292330715556,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.4929233071555643,0.007464616535777822
2021-09-27,100.0,300.0,298.3187714991681,0.0,0.0,0.0,0.04997501249375313,99.95002498750625,1,0,0.0,0.0,0.0,-1.6812285008318781,-0.005604095002772927
2021-09-28,0.0,300.0,281.28287079999035,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-18.71712920000965,-0.06239043066669884
2021-09-29,0.0,300.0,280.5953321026607,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-19.404667897339323,-0.06468222632446441
2021-09-30,0.0,300.0,277.9597425093138,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-22.0402574906862,-0.073467524968954
2021-10-01,0.0,300.0,281.7031005414857,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-18.296899458514304,-0.060989664861714345
2021-10-04,100.0,400.0,369.9648791614883,0.0,0.0,0.0,0.04997501249375313,99.95002498750625,1,0,0.0,0.0,0.0,-30.035120838511716,-0.07508780209627929
2021-10-05,0.0,400.0,379.85633406773877,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-20.14366593226123,-0.05035916483065307
2021-10-06,0.0,400.0,384.61893284476474,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-15.381067155235257,-0.03845266788808814
