years,windows,one_point_five_wins_vs_one_percent,median_wealth_ratio,min_ratio,max_ratio
5,270,108,0.9952962706277644,0.9698465603484747,1.0215868381409832
10,210,62,0.9958544541243306,0.9793934881960977,1.0164472916889755
