start,end,strategy,final_value,cagr,max_drawdown,sharpe_0rf,return_2020,return_2022,trades
2006-06-21,2026-09-16,QQQ hold,10799.298631713236,0.16392696603493184,-0.5340400946914616,0.8002249580433753,0.48406120681472875,-0.3257700203962526,1
2006-06-21,2026-09-16,QLD hold,43786.224773243426,0.24726975037245702,-0.8312886776458253,0.7248789378759092,0.8889543788239405,-0.6052240841173422,1
2006-06-21,2026-09-16,QLD trend / cash,22549.167950474304,0.20704055361206897,-0.46017303116415686,0.7658683007641499,0.5989235475542818,-0.2475117583383707,27
2006-06-21,2026-09-16,QLD trend + volatility / cash,6557.915542882186,0.13559479198900992,-0.3387294530270526,0.7226482250276474,0.10026444105472643,-0.16692660036045848,211
2007-01-03,2009-12-31,QQQ hold,532.4830076713617,0.021236443907752367,-0.5340400946914614,0.21789220955237998,,,1
2007-01-03,2009-12-31,QLD hold,378.69012583974836,-0.08860256530793709,-0.8312886776458253,0.1329184648409025,,,1
2007-01-03,2009-12-31,QLD trend / cash,745.2761545424399,0.14254588251645384,-0.41776167198834935,0.6149293270763797,,,5
2007-01-03,2009-12-31,QLD trend + volatility / cash,694.370012067916,0.11587458635928738,-0.2559470618880878,0.7005907621891696,,,25
2018-01-02,2026-09-16,QQQ hold,2375.9294172069194,0.1960295975167663,-0.3511873277686407,0.8737748564946703,0.4840612068147294,-0.3257700203962526,1
2018-01-02,2026-09-16,QLD hold,4763.82371794552,0.29551518656835296,-0.6368447993867368,0.785280770207229,0.8889543788239394,-0.605224084117342,1
2018-01-02,2026-09-16,TQQQ hold,6080.636168170895,0.3323443756502207,-0.8165985087501899,0.7650831972630165,1.1005202323955618,-0.7909001532120317,1
2018-01-02,2026-09-16,70% TQQQ trend / QQQ,6028.739462654143,0.33103336079244716,-0.5236121449659774,0.8642024778025047,0.9076158809022277,-0.4463878694699751,198
2018-01-02,2026-09-16,QLD trend / cash,3865.076388870769,0.2647766731830259,-0.46017303116415664,0.8426708249836765,0.598923547554282,-0.2475117583383708,11
2018-01-02,2026-09-16,QLD trend + volatility / cash,1592.7035188200155,0.14232998900827187,-0.3387294530270526,0.7002681493488816,0.10026444105472598,-0.16692660036045848,93
2022-01-03,2026-09-16,QQQ hold,907.2268027525223,0.13503361552160453,-0.34827985371809356,0.6633679447812411,,-0.32813347325828224,1
2022-01-03,2026-09-16,QLD hold,981.5621447908715,0.15419707223199208,-0.6308102121126932,0.5418626005084728,,-0.6081942773497603,1
2022-01-03,2026-09-16,TQQQ hold,849.0663534650496,0.1191579710497126,-0.8101575542600188,0.508705698839934,,-0.7928725982637876,1
2022-01-03,2026-09-16,70% TQQQ trend / QQQ,1236.1737283693249,0.2121994898244608,-0.47305798139687216,0.6786460297947804,,-0.45061811193962775,94
2022-01-03,2026-09-16,QLD trend / cash,1035.9926200750804,0.16751645831744555,-0.3475032129675154,0.6590036149366965,,-0.2531732878110101,7
2022-01-03,2026-09-16,QLD trend + volatility / cash,817.7989416885403,0.11026614589862294,-0.2212621042091838,0.6117390869188313,,-0.17156805302851985,47
