date,equity,cash,cost,QQQ,QLD,TQQQ
2010-02-11,507.18307367120934,3.637978807091713e-12,0.2498750624687638,0.9999999999999928,0.0,0.0
2010-02-12,508.228521910936,3.637978807091713e-12,0.0,0.9999999999999929,0.0,0.0
2010-02-16,514.7325395755652,3.637978807091713e-12,0.0,0.9999999999999929,0.0,0.0
2010-02-17,517.6357164801954,3.637978807091713e-12,0.0,0.999999999999993,0.0,0.0
2010-02-18,520.8876997626727,3.637978807091713e-12,0.0,0.999999999999993,0.0,0.0
2010-02-19,520.6555539416122,3.637978807091713e-12,0.0,0.999999999999993,0.0,0.0
2010-02-22,519.6102590009089,3.637978807091713e-12,0.0,0.999999999999993,0.0,0.0
2010-02-23,512.8741466148937,3.637978807091713e-12,0.0,0.9999999999999929,0.0,0.0
2010-02-24,518.1003147203633,3.637978807091713e-12,0.0,0.999999999999993,0.0,0.0
2010-02-25,517.9841140606468,3.637978807091713e-12,0.0,0.999999999999993,0.0,0.0
2010-02-26,519.8425070213184,3.637978807091713e-12,0.0,0.999999999999993,0.0,0.0
2010-03-01,527.3913597295806,7.389644451905042e-12,1.8758328224066646e-15,0.999999999999986,0.0,0.0
2010-03-02,529.0175557695171,7.389644451905042e-12,0.0,0.999999999999986,0.0,0.0
2010-03-03,529.5982013703781,7.389644451905042e-12,0.0,0.999999999999986,0.0,0.0
2010-03-04,531.3403425716587,7.389644451905042e-12,0.0,0.9999999999999861,0.0,0.0
2010-03-05,539.3541001181355,7.389644451905042e-12,0.0,0.9999999999999863,0.0,0.0
2010-03-08,540.3992928594898,7.389644451905042e-12,0.0,0.9999999999999863,0.0,0.0
2010-03-09,543.4189259222088,7.389644451905042e-12,0.0,0.9999999999999865,0.0,0.0
2010-03-10,547.8323026057569,7.389644451905042e-12,0.0,0.9999999999999866,0.0,0.0
2010-03-11,549.9225347894422,7.389644451905042e-12,0.0,0.9999999999999866,0.0,0.0
2010-03-12,550.038888748182,7.389644451905042e-12,0.0,0.9999999999999866,0.0,0.0
