strategy,slippage_bps,final_value,cagr,max_drawdown,sharpe_0rf,return_2020,return_2022,trades
70% TQQQ trend / QQQ,5.0,48936.70554136624,0.31807416697302826,-0.5236121449659774,0.8923058312150909,0.9076158809022266,-0.4463878694699752,402
QLD trend / cash,5.0,15754.933934172024,0.23107110204726844,-0.46017303116415675,0.8171945045212209,0.5989235475542822,-0.2475117583383707,23
QLD trend + volatility / cash,5.0,4871.693750887396,0.14701980762164846,-0.3387294530270524,0.7556192380330288,0.10026444105472643,-0.1669266003604587,182
70% TQQQ trend / QQQ,25.0,43834.2640282443,0.3093585163095731,-0.5262781585127542,0.8758641328152966,0.8847496953319072,-0.44779140228268777,402
QLD trend / cash,25.0,15046.666370707882,0.2276640600867783,-0.46017303116415675,0.8084610711235617,0.5925406112579885,-0.249017487686368,23
QLD trend + volatility / cash,25.0,4689.609692175719,0.1443902945060216,-0.3388289430228629,0.7447648072538718,0.097076926975173,-0.16806578129738026,182
