strategy,final_value,cagr,max_drawdown,sharpe_0rf,return_2020,return_2022,trades
QQQ hold,9440.057383098807,0.19366030690224756,-0.3511873277686408,0.9628933186343733,0.484061206814729,-0.3257700203962527,1.0
QLD hold,54508.71817246765,0.32666565034814266,-0.6368447993867371,0.8951813910193324,0.88895437882394,-0.6052240841173423,1.0
TQQQ hold,175552.0130971555,0.4235261412861415,-0.8165985087501899,0.888070090708539,1.1005202323955623,-0.7909001532120317,1.0
70% TQQQ trend / QQQ,48936.70554136624,0.31807416697302826,-0.5236121449659774,0.8923058312150909,0.9076158809022266,-0.4463878694699752,402.0
QLD trend / cash,15754.933934172024,0.23107110204726844,-0.46017303116415675,0.8171945045212209,0.5989235475542822,-0.2475117583383707,23.0
QLD trend + volatility / cash,4871.693750887396,0.14701980762164846,-0.3387294530270524,0.7556192380330288,0.10026444105472643,-0.1669266003604587,182.0
