date,equity,cash,cost,QQQ,QLD,TQQQ
2010-02-11,514.4877355203223,3.637978807091713e-12,0.2498750624687638,0.0,0.9999999999999929,0.0
2010-02-12,516.9763605253438,3.637978807091713e-12,0.0,0.0,0.999999999999993,0.0
2010-02-16,529.991567792744,3.637978807091713e-12,0.0,0.0,0.9999999999999931,0.0
2010-02-17,535.6375547447149,3.637978807091713e-12,0.0,0.0,0.9999999999999932,0.0
2010-02-18,542.5280223268147,3.637978807091713e-12,0.0,0.0,0.9999999999999933,0.0
2010-02-19,541.8586502361069,3.637978807091713e-12,0.0,0.0,0.9999999999999933,0.0
2010-02-22,539.561802800945,3.637978807091713e-12,0.0,0.0,0.9999999999999932,0.0
2010-02-23,525.876401485592,3.637978807091713e-12,0.0,0.0,0.9999999999999931,0.0
2010-02-24,536.2120281353559,3.637978807091713e-12,0.0,0.0,0.9999999999999932,0.0
2010-02-25,537.3604892146299,3.637978807091713e-12,0.0,0.0,0.9999999999999932,0.0
2010-02-26,540.5184115869733,3.637978807091713e-12,0.0,0.0,0.9999999999999932,0.0
2010-03-01,555.7350071640744,7.73070496506989e-12,2.0463630789890888e-15,0.0,0.9999999999999861,0.0
2010-03-02,559.0846697445845,7.73070496506989e-12,0.0,0.0,0.9999999999999861,0.0
2010-03-03,560.4241985215522,7.73070496506989e-12,0.0,0.0,0.9999999999999862,0.0
2010-03-04,563.964928799756,7.73070496506989e-12,0.0,0.0,0.9999999999999863,0.0
2010-03-05,580.6173342365303,7.73070496506989e-12,0.0,0.0,0.9999999999999867,0.0
2010-03-08,583.2968774924736,7.73070496506989e-12,0.0,0.0,0.9999999999999868,0.0
2010-03-09,591.2402349433075,7.73070496506989e-12,0.0,0.0,0.9999999999999869,0.0
2010-03-10,599.2792009663741,7.73070496506989e-12,0.0,0.0,0.9999999999999871,0.0
2010-03-11,603.5854723329128,7.73070496506989e-12,0.0,0.0,0.9999999999999872,0.0
2010-03-12,604.446734078559,7.73070496506989e-12,0.0,0.0,0.9999999999999872,0.0
2010-03-15,601.9587068606246,7.73070496506989e-12,0.0,0.0,0.9999999999999871,0.0
2010-03-16,609.3276282825103,7.73070496506989e-12,0.0,0.0,0.9999999999999873,0.0
