execution_date,signal_date,side,price,shares,notional,regime
2021-09-16,,buy,365.7466926102389,0.27341327213740757,100.0,always
2021-09-20,,buy,357.1898317878617,0.2799631767216456,100.0,always
2021-09-27,,buy,359.85329122455346,0.27789102514446257,100.0,always
2021-10-04,,buy,348.4996833477086,0.2869443066329188,100.0,always
2021-10-11,,buy,349.53018475045076,0.2860983238726453,100.0,always
2021-10-18,,buy,357.33562339750335,0.27984895278341476,100.0,always
2021-10-25,,buy,365.06355105058014,0.27392490899795374,100.0,always
2021-11-01,,buy,375.7560098339988,0.266130141322764,100.0,always
2021-11-08,,buy,387.43042871393436,0.25811085704328257,100.0,always
2021-11-15,,buy,384.8447220554015,0.25984506027759474,100.0,always
2021-11-22,,buy,394.23470469154375,0.25365600443076614,100.0,always
2021-11-29,,buy,384.82533126567165,0.2598581534929234,100.0,always
2021-12-06,,buy,372.9079975352053,0.2681626585135366,100.0,always
2021-12-13,,buy,386.8763178054107,0.2584805411901629,100.0,always
2021-12-20,,buy,369.43267130596786,0.2706853176967096,100.0,always
2021-12-27,,buy,387.61379624080826,0.2579887531605665,100.0,always
2022-01-03,,buy,388.3923890723918,0.2574715746588978,100.0,always
2022-01-10,,buy,364.8095361981079,0.27411564138963607,100.0,always
2022-01-18,,buy,364.05040652329427,0.2746872361852489,100.0,always
2022-01-24,,buy,336.67164275512204,0.29702531279931693,100.0,always
2022-01-31,,buy,343.76695693691306,0.2908947412835599,100.0,always
2022-02-07,,buy,349.0421741174726,0.28649833004519476,100.0,always
2022-02-14,,buy,337.23616335152894,0.2965281036475373,100.0,always
2022-02-22,,buy,329.4498798719865,0.3035363073705073,100.0,always
2022-02-28,,buy,333.3624820902108,0.29997376841266477,100.0,always
2022-03-07,,buy,328.28191249399777,0.304616234383088,100.0,always
2022-03-14,,buy,314.50001208935174,0.3179650116248303,100.0,always
2022-03-21,,buy,341.2685036066862,0.2930244043712002,100.0,always
2022-03-28,,buy,350.17530137978406,0.2855712541860415,100.0,always
2022-04-04,,buy,353.4593433329564,0.28291797030189314,100.0,always
2022-04-11,,buy,336.0158985766256,0.2976049657876407,100.0,always
2022-04-18,,buy,328.74620752754055,0.30418601860714256,100.0,always
2022-04-25,,buy,315.4735244137809,0.31698381087865285,100.0,always
2022-05-02,,buy,304.85156763643744,0.3280284919487732,100.0,always
2022-05-09,,buy,295.7400473281143,0.33813479406477925,100.0,always
2022-05-16,,buy,292.49497958208536,0.34188620995436997,100.0,always
2022-05-23,,buy,282.3601578349522,0.3541576147526201,100.0,always
2022-05-31,,buy,301.1874804687701,0.3320191126283183,100.0,always
2022-06-06,,buy,302.82454096774006,0.3302242271396789,100.0,always
2022-06-13,,buy,272.61520417177536,0.3668173985519524,100.0,always
2022-06-21,,buy,272.1628826499287,0.36742703129223414,100.0,always
2022-06-27,,buy,289.0053431432029,0.34601436399897195,100.0,always
2022-07-05,,buy,271.7332815544658,0.36800792095817,100.0,always
2022-07-11,,buy,285.95901407509024,0.349700464325076,100.0,always
2022-07-18,,buy,287.7555144154949,0.34751723247815286,100.0,always
2022-07-25,,buy,294.8829919131612,0.3391175576156951,100.0,always
2022-08-01,,buy,306.2381963478286,0.32654319804842025,100.0,always
2022-08-08,,buy,315.06456258108693,0.3173952639445555,100.0,always
2022-08-15,,buy,321.6355531865643,0.31091090213523476,100.0,always
2022-08-22,,buy,310.9735868915657,0.3215707192356157,100.0,always
2022-08-29,,buy,297.42152577878574,0.3362231423504207,100.0,always
2022-09-06,,buy,288.6732939586236,0.3464123702912861,100.0,always
2022-09-12,,buy,301.2099263313851,0.3319943708959379,100.0,always
2022-09-19,,buy,279.84116481693457,0.35734556803112805,100.0,always
2022-09-26,,buy,269.01332453826984,0.3717287988304609,100.0,always
2022-10-03,,buy,263.1837583597673,0.3799626565986715,100.0,always
2022-10-10,,buy,263.4087091158014,0.37963816889606855,100.0,always
2022-10-17,,buy,261.00252122315777,0.3831380613925172,100.0,always
2022-10-24,,buy,269.6588926774433,0.3708388735379721,100.0,always
2022-10-31,,buy,272.8182906349154,0.3665443389710981,100.0,always
2022-11-07,,buy,259.9364051066279,0.38470948291748225,100.0,always
2022-11-14,,buy,279.60644515242836,0.357645546923944,100.0,always
2022-11-21,,buy,277.2002494920997,0.36075003605958167,100.0,always
2022-11-28,,buy,278.667402065168,0.35885072763772496,100.0,always
2022-12-05,,buy,284.0275928176661,0.3520784688838166,100.0,always
2022-12-12,,buy,276.04604757940933,0.3622584017299987,100.0,always
2022-12-19,,buy,268.52004485164895,0.37241167621302784,100.0,always
2022-12-27,,buy,261.5292738650043,0.3823663734546895,100.0,always
2023-01-03,,buy,263.40201469710155,0.3796478174815585,100.0,always
2023-01-09,,buy,265.5394638635168,0.3765918577413354,100.0,always
2023-01-17,,buy,275.28531725599936,0.3632594756479722,100.0,always
2023-01-23,,buy,278.0011868336757,0.3597106945440079,100.0,always
2023-01-30,,buy,287.20775965064036,0.3481800078160842,100.0,always
2023-02-06,,buy,297.58107348929235,0.3360428767443042,100.0,always
2023-02-13,,buy,295.24759455030784,0.33869877975571716,100.0,always
2023-02-21,,buy,291.4531666340616,0.3431082981697588,100.0,always
2023-02-27,,buy,289.30591266815196,0.3456548781797795,100.0,always
