symbol,contributed,final_value,profit,xirr,trades,exposure,start,end,profit_on_contributed,twr_cagr,max_drawdown,drawdown_peak,drawdown_trough,drawdown_recovered,sharpe_0rf,volatility,worst_loss_on_contributed,worst_loss_date,worst_loss_deposited,worst_loss_value,lump_sum_return
QQQ,26200.0,45126.702583320366,18926.702583320366,0.22173637655516754,262.0,1.0,2021-09-16,2026-09-16,0.7223932283710064,0.13960816997593306,-0.351786942035474,2021-11-19,2022-11-03,2023-12-13,0.6853698847803813,0.22994098890724948,-0.22775025871767626,2022-06-16,4000.0,3088.998965129295,0.9267979313051942
QLD,26200.0,60979.173994321965,34779.173994321965,0.34989745642469827,262.0,1.0,2021-09-16,2026-09-16,1.3274493890962582,0.16811584869305407,-0.6372531326834792,2021-11-19,2022-12-28,2024-05-28,0.5688015586785983,0.459505519788432,-0.42614282758709554,2022-06-16,4000.0,2295.428689651618,1.180303246562409
TQQQ,26200.0,75466.7743200072,49266.7743200072,0.4436048837486365,262.0,1.0,2021-09-16,2026-09-16,1.8804112335880612,0.14323179031448197,-0.816833214878528,2021-11-19,2022-12-28,2024-12-04,0.537968459414281,0.6832457990210367,-0.5850959258309602,2022-06-16,4000.0,1659.6162966761592,0.9580741755602964
