date,equity,deposit,deposited,daily_return,unit_wealth,drawdown,profit,profit_on_deposited
2021-09-16,100.80440754718228,100.0,100.0,0.008044075471822731,1.0080440754718227,0.0,0.8044075471822794,0.008044075471822794
2021-09-17,98.41461939845091,0.0,100.0,-0.02370717914901499,0.9841461939845091,-0.02370717914901499,-1.5853806015490903,-0.015853806015490902
2021-09-20,193.31728603035685,100.0,200.0,-0.041891011125508526,0.9429193148231771,-0.06460507256903769,-6.682713969643146,-0.03341356984821573
2021-09-21,193.69795450912878,0.0,200.0,0.0019691383351623237,0.9447760533929604,-0.06276315055891701,-6.3020454908712225,-0.03151022745435611
2021-09-22,197.4034047709248,0.0,200.0,0.01913004332537427,0.9628496602271439,-0.04483376902297176,-2.5965952290752057,-0.01298297614537603
2021-09-23,201.00730684443988,0.0,200.0,0.018256534519742518,0.9804279582864032,-0.027395743755047275,1.0073068444398814,0.005036534222199407
2021-09-24,201.3372992485581,0.0,200.0,0.0016416935747196604,0.9820375205659975,-0.0257990255968249,1.3372992485581108,0.006686496242790554
2021-09-27,298.2936995164116,100.0,300.0,-0.015670266371817787,0.9666487310316088,-0.041065014365407104,-1.706300483588393,-0.0056876682786279765
2021-09-28,281.25923058703637,0.0,300.0,-0.05710636515954304,0.9114469356163089,-0.09582630581931728,-18.74076941296363,-0.062469231376545434
2021-09-29,280.5717496733932,0.0,300.0,-0.0024442963603659162,0.9092190891889153,-0.0980363742891418,-19.428250326606815,-0.06476083442202271
2021-09-30,277.93638158624424,0.0,300.0,-0.009392849031368056,0.9006789315477258,-0.10650838245722916,-22.063618413755762,-0.07354539471251921
2021-10-01,281.6794250106308,0.0,300.0,0.013467266872455363,0.912808615085277,-0.09447549239547892,-18.32057498936922,-0.0610685832978974
2021-10-04,366.6866667881296,100.0,400.0,-0.04161772741332437,0.8748195949621238,-0.13216136451904859,-33.31333321187037,-0.08328333302967593
2021-10-05,376.490474753574,0.0,400.0,0.026736199740551303,0.8982089463899793,-0.1089586574182625,-23.509525246425994,-0.058773813116064985
2021-10-06,381.21087274041804,0.0,400.0,0.01253789485626089,0.9094705957187698,-0.09778687475239112,-18.78912725958196,-0.046972818148954903
2021-10-07,388.21367857476855,0.0,400.0,0.018369900585492926,0.9261774801475526,-0.08121330933466553,-11.78632142523145,-0.029465803563078624
2021-10-08,384.2713523172751,0.0,400.0,-0.010155042120016833,0.9167721088260432,-0.09054362687768291,-15.728647682724898,-0.03932161920681224
2021-10-11,477.66582398855735,100.0,500.0,-0.015356215081782865,0.9026939591419308,-0.10450943455084738,-22.33417601144265,-0.0446683520228853
2021-10-12,474.45740955222806,0.0,500.0,-0.006716859936804154,0.8966306902525752,-0.11052431925369888,-25.542590447771943,-0.05108518089554388
2021-10-13,481.92194485417855,0.0,500.0,0.0157327826516509,0.9107371860211187,-0.0965303916945881,-18.078055145821452,-0.0361561102916429
2021-10-14,499.6013017343062,0.0,500.0,0.03668510444254047,0.9441476748100089,-0.06338651475324286,-0.3986982656937812,-0.0007973965313875623
2021-10-15,505.88718626974844,0.0,500.0,0.012581801755963351,0.9560267536828222,-0.05160222955990634,5.88718626974844,0.011774372539496881
2021-10-18,618.8011265248758,100.0,600.0,0.02010694533971291,0.9752495313624259,-0.0325328474293618,18.801126524875826,0.031335210874793046
2021-10-19,627.8293809425874,0.0,600.0,0.014589912704932262,0.9894783368905298,-0.01841758612846678,27.829380942587363,0.04638230157097894
2021-10-20,626.3377805562841,0.0,600.0,-0.0023758053247905364,0.9871275289889804,-0.02074963485406356,26.337780556284088,0.04389630092714015
2021-10-21,634.0316175043608,0.0,600.0,0.012283846172018276,0.9992532517072455,-0.008720674004718099,34.03161750436084,0.05671936250726806
2021-10-22,623.1975181501235,0.0,600.0,-0.017087632627662774,0.9821783792400747,-0.025659290958722658,23.19751815012353,0.03866253025020588
2021-10-25,737.1025605872072,100.0,700.0,0.020338091389385582,1.002154012877738,-0.005843060573842318,37.10256058720722,0.0530036579817246
2021-10-26,741.1974931972335,0.0,700.0,0.005555444830857903,1.007721424208303,-0.00032007654364585303,41.197493197233484,0.05885356171033355
2021-10-27,745.0196271142354,0.0,700.0,0.005156701084503945,1.012917942369396,0.0,45.01962711423539,0.06431375302033628
