date,equity,deposit,deposited,daily_return,unit_wealth,drawdown,profit,profit_on_deposited
2021-09-16,101.25476173397126,100.0,100.0,0.012547617339712547,1.0125476173397125,0.0,1.2547617339712644,0.012547617339712644
2021-09-17,97.67705195116218,0.0,100.0,-0.03533374353503371,0.9767705195116216,-0.03533374353503371,-2.322948048837816,-0.023229480488378158
2021-09-20,190.19392233114084,100.0,200.0,-0.061758761312512234,0.9164463821400048,-0.09491033661428827,-9.80607766885916,-0.0490303883442958
2021-09-21,190.4360719471827,0.0,200.0,0.001273172207996387,0.9176131762038643,-0.09375800160912084,-9.563928052817289,-0.047819640264086444
2021-09-22,196.00699603729151,0.0,200.0,0.029253512914580115,0.9444565851045329,-0.06724723960545842,-3.9930039627084852,-0.019965019813542425
2021-09-23,201.44963604119312,0.0,200.0,0.027767580310582796,0.9706818591812818,-0.041346952421285166,1.4496360411931164,0.007248180205965582
2021-09-24,202.0195796729962,0.0,200.0,0.0028292115240484694,0.9734281234834623,-0.03863472017151126,2.0195796729962012,0.010097898364981006
2021-09-27,297.21256227754725,100.0,300.0,-0.024284399498222475,0.9497890060499848,-0.06198089869058676,-2.7874377224527507,-0.009291459074842502
2021-09-28,272.42516968303306,0.0,300.0,-0.08339954544507733,0.8705770346766843,-0.14021126535859174,-27.57483031696694,-0.09191610105655647
2021-09-29,270.62088029415963,0.0,300.0,-0.006623064201346285,0.864811147083803,-0.14590570134771597,-29.379119705840367,-0.09793039901946789
2021-09-30,267.5707904668702,0.0,300.0,-0.011270711350779838,0.8550641102720846,-0.15553195165417266,-32.42920953312978,-0.1080973651104326
2021-10-01,272.44661431048786,0.0,300.0,0.018222556487238695,0.8706455643217281,-0.14014358494152268,-27.55338568951214,-0.09184461896504047
2021-10-04,350.8009051155491,100.0,400.0,-0.061621939983775076,0.8169946956099546,-0.19312960534492019,-49.199094884450915,-0.12299773721112729
2021-10-05,364.29777850298535,0.0,400.0,0.038474454286229864,0.8484281206782921,-0.16208570723085103,-35.70222149701465,-0.08925555374253662
2021-10-06,371.488265310306,0.0,400.0,0.019737937565440733,0.8651743419530045,-0.14554700723498315,-28.51173468969398,-0.07127933672423495
2021-10-07,381.5372610610312,0.0,400.0,0.0270506411348721,0.8885778625962744,-0.12243350596107916,-18.462738938968812,-0.04615684734742203
2021-10-08,375.67290100089554,0.0,400.0,-0.01537034690616379,0.8749201125950321,-0.13592200740768323,-24.327098999104464,-0.060817747497761164
2021-10-11,466.32221855959506,100.0,500.0,-0.022303410302746962,0.8554064103416995,-0.15519389341004364,-33.67778144040494,-0.06735556288080989
2021-10-12,461.57104906007504,0.0,500.0,-0.010188597734407168,0.8466910185272947,-0.16380128299365948,-38.42895093992496,-0.07685790187984992
2021-10-13,472.3827242082911,0.0,500.0,0.02342364229782734,0.8665236060820611,-0.14421446335660082,-27.61727579170889,-0.055234551583417786
2021-10-14,498.457937218501,0.0,500.0,0.05519933662669785,0.9143551343091649,-0.09697566943916258,-1.5420627814989984,-0.003084125562997997
2021-10-15,507.6982891811267,0.0,500.0,0.018537877065793573,0.9313053373834654,-0.08023551541180518,7.698289181126711,0.015396578362253421
2021-10-18,626.9914138314305,100.0,600.0,0.029904739310472772,0.9591557807163699,-0.05273019827316383,26.991413831430464,0.04498568971905077
