date,equity,deposit,deposited,daily_return,unit_wealth,drawdown,profit,profit_on_deposited
2021-09-16,100.3825380806747,100.0,100.0,0.003825380806746992,1.003825380806747,0.0,0.3825380806747063,0.003825380806747063
2021-09-17,99.19378943967908,0.0,100.0,-0.011842185540679062,0.9919378943967907,-0.011842185540679062,-0.8062105603209204,-0.008062105603209205
2021-09-20,196.61542235915246,100.0,200.0,-0.020910993004376266,0.9711954880262836,-0.03250554668605765,-3.3845776408475388,-0.016922888204237693
2021-09-21,196.8573894538562,0.0,200.0,0.0012306618260176094,0.9723907012389982,-0.03131488819548034,-3.1426105461438,-0.015713052730719
2021-09-22,198.6961232109294,0.0,200.0,0.009340435541558278,0.9814732539051317,-0.022266947348603017,-1.303876789070614,-0.00651938394535307
2021-09-23,200.52946978882818,0.0,200.0,0.009226886505241838,0.9905291962268448,-0.01324551543936503,0.5294697888281803,0.0026473489441409016
2021-09-24,200.7176495303332,0.0,200.0,0.0009384143971615799,0.991458723085393,-0.012319530824589475,0.7176495303332047,0.0035882476516660234
2021-09-27,299.10598364103765,100.0,300.0,-0.008148082670155543,0.9833802354456463,-0.020367232939128788,-0.8940163589623467,-0.0029800545298744887
2021-09-28,290.64208864305164,0.0,300.0,-0.02829731085601983,0.955553219233575,-0.04808820587339302,-9.357911356948364,-0.031193037856494545
2021-09-29,290.16557105785625,0.0,300.0,-0.001639533996676712,0.9539865572450076,-0.049648897621701216,-9.834428942143745,-0.032781429807145816
2021-09-30,289.0994695077159,0.0,300.0,-0.0036741145624329397,0.9504815013426684,-0.05314059644637359,-10.900530492284076,-0.03633510164094692
2021-10-01,290.8923973639376,0.0,300.0,0.006201768060227542,0.9563761671595324,-0.047268394039888584,-9.107602636062381,-0.030358675453541272
2021-10-04,383.0918553456829,100.0,400.0,-0.021115270231551686,0.9361820259469432,-0.06738557935787659,-16.908144654317084,-0.04227036163579271
2021-10-05,388.26327770508806,0.0,400.0,0.013499170726923193,0.9488197069466778,-0.05479605807123811,-11.736722294911942,-0.029341805737279857
2021-10-06,390.75116924156566,0.0,400.0,0.006407743609395222,0.9548995003603337,-0.048739433552768885,-9.248830758434337,-0.023122076896085843
2021-10-07,394.33631973783895,0.0,400.0,0.00917502180027241,0.9636607240932089,-0.04001159711787605,-5.663680262161051,-0.014159200655402628
2021-10-08,392.3699623396507,0.0,400.0,-0.004986498325833866,0.9588554315058463,-0.04479857768166773,-7.630037660349274,-0.019075094150873183
