execution_date,signal_date,side,price,shares,notional,regime
2021-09-16,,buy,34.69225075997841,2.8824881006383642,100.0,always
2021-09-20,,buy,32.27774283303208,3.0981100666575414,100.0,always
2021-09-27,,buy,32.94274975296836,3.035569305837602,100.0,always
2021-10-04,,buy,29.817939872530534,3.3536857484954536,100.0,always
2021-10-11,,buy,29.999087833710842,3.3334346882249903,100.0,always
2021-10-18,,buy,31.99886385333264,3.1251109557624224,100.0,always
2021-10-25,,buy,34.082075662135445,2.9340935977998,100.0,always
2021-11-01,,buy,37.13538029472404,2.6928497623116403,100.0,always
2021-11-08,,buy,40.639163769336804,2.4606805535563785,100.0,always
2021-11-15,,buy,39.78347139525473,2.5136066937569392,100.0,always
2021-11-22,,buy,42.73427295584605,2.340042150788949,100.0,always
2021-11-29,,buy,39.61424913911152,2.524344198695642,100.0,always
2021-12-06,,buy,35.893557150791985,2.786015316896323,100.0,always
2021-12-13,,buy,39.91695135544387,2.505201339389412,100.0,always
2021-12-20,,buy,34.565931649905885,2.8930219793532537,100.0,always
2021-12-27,,buy,39.82638003082748,2.5108985532352004,100.0,always
2022-01-03,,buy,40.002759308404315,2.4998275551204454,100.0,always
2022-01-10,,buy,32.9761160402523,3.0324978198746932,100.0,always
2022-01-18,,buy,32.649569596483616,3.0628275115384698,100.0,always
2022-01-24,,buy,25.670600471504805,3.8955068507650696,100.0,always
2022-01-31,,buy,27.196057611844424,3.677003535852491,100.0,always
2022-02-07,,buy,28.15900557258737,3.551261771024664,100.0,always
2022-02-14,,buy,25.217732249774222,3.965463627321022,100.0,always
2022-02-22,,buy,23.377645861153415,4.2775906776041035,100.0,always
2022-02-28,,buy,24.054567883444342,4.157214566669702,100.0,always
2022-03-07,,buy,22.905708308853885,4.365723978129346,100.0,always
2022-03-14,,buy,19.931065398899136,5.017293255458554,100.0,always
2022-03-21,,buy,25.198663202130607,3.9684644855106743,100.0,always
2022-03-28,,buy,27.134086389253792,3.6854014012280913,100.0,always
2022-04-04,,buy,27.830081306309253,3.5932342022058474,100.0,always
2022-04-11,,buy,23.754245217402296,4.209773835572779,100.0,always
2022-04-18,,buy,22.152513910724444,4.514160352319569,100.0,always
2022-04-25,,buy,19.454362729758266,5.140235195010296,100.0,always
2022-05-02,,buy,17.28058308629429,5.786841769205854,100.0,always
2022-05-09,,buy,15.521538096099984,6.442660474809934,100.0,always
2022-05-16,,buy,14.83984868625149,6.738613183613246,100.0,always
2022-05-23,,buy,13.180912804136176,7.5867279820423335,100.0,always
2022-05-31,,buy,15.874299654637191,6.299490508281293,100.0,always
2022-06-06,,buy,16.026842834348066,6.239532079623576,100.0,always
2022-06-13,,buy,11.569648562808124,8.643304890129569,100.0,always
2022-06-21,,buy,11.355129002551807,8.806593036285829,100.0,always
2022-06-27,,buy,13.514605542140792,7.3994020534438345,100.0,always
2022-07-05,,buy,11.159678113559682,8.960831932821966,100.0,always
2022-07-11,,buy,12.966395641216447,7.712243461253698,100.0,always
2022-07-18,,buy,13.16184644448331,7.597718178965252,100.0,always
2022-07-25,,buy,14.077119323788862,7.103726103323599,100.0,always
2022-08-01,,buy,15.626413145253336,6.399421228049119,100.0,always
2022-08-08,,buy,16.970722645024317,5.89250099077656,100.0,always
2022-08-15,,buy,17.94796850064891,5.571661215941208,100.0,always
2022-08-22,,buy,16.155557784245424,6.18982032904602,100.0,always
2022-08-29,,buy,13.991312754896313,7.147292162774692,100.0,always
2022-09-06,,buy,12.75664090993083,7.839054238969107,100.0,always
2022-09-12,,buy,14.444181285276233,6.923203054917043,100.0,always
2022-09-19,,buy,11.412333478419312,8.76244986961691,100.0,always
2022-09-26,,buy,10.08709078751282,9.91366114438007,100.0,always
2022-10-03,,buy,9.39110258739976,10.648376915206114,100.0,always
2022-10-10,,buy,9.305295497178143,10.746568986479287,100.0,always
2022-10-17,,buy,8.966834918324928,11.152207095464266,100.0,always
2022-10-24,,buy,9.834438273063006,10.168348941078287,100.0,always
2022-10-31,,buy,10.096626763680382,9.904297974024386,100.0,always
2022-11-07,,buy,8.65697735817933,11.551375943650527,100.0,always
2022-11-14,,buy,10.56856405391559,9.462023363803201,100.0,always
2022-11-21,,buy,10.258709089187096,9.74781516179284,100.0,always
2022-11-28,,buy,10.392185705491778,9.622614802500568,100.0,always
2022-12-05,,buy,10.907024729686466,9.168403160196613,100.0,always
2022-12-12,,buy,9.967915943843627,10.032187326154359,100.0,always
