window_start,symbol,contributed,final_value,profit,xirr,trades,exposure,start,end,profit_on_contributed,twr_cagr,max_drawdown,drawdown_peak,drawdown_trough,drawdown_recovered,sharpe_0rf,volatility,worst_loss_on_contributed,worst_loss_date,worst_loss_deposited,worst_loss_value,lump_sum_return
2010-03-01,QQQ,26100.0,44814.585420290234,18714.585420290234,0.2209012375071563,261.0,1.0,2010-03-01,2015-02-27,0.7170339241490511,0.20589555739108278,-0.16100825378914818,2011-07-26,2011-08-19,2012-01-18,1.1719713651112453,0.17243429224851642,-0.09632116817746907,2010-07-02,1800.0,1626.6218972805557,1.5532357744990186
2010-03-01,QLD,26100.0,73021.0175892151,46921.0175892151,0.4317198707504474,261.0,1.0,2010-03-01,2015-02-27,1.79774013751782,0.395986559397036,-0.30767227975807876,2011-07-26,2011-08-19,2012-02-01,1.1462425968249264,0.3423623459358506,-0.1958443300528168,2010-07-02,1800.0,1447.4802059049298,4.302911220441651
2010-03-01,TQQQ,26100.0,115768.13095459,89668.13095459,0.6440922514208276,261.0,1.0,2010-03-01,2015-02-27,3.435560572972797,0.5801547788198989,-0.4391260516032941,2011-07-22,2011-08-19,2012-02-08,1.152584666548998,0.5109805793103847,-0.28661551073299746,2010-07-02,1800.0,1284.0920806806046,8.845751574543295
2010-04-01,QQQ,26200.0,43059.44014827756,16859.440148277557,0.20216486327104477,262.0,1.0,2010-04-01,2015-04-01,0.6434900819953266,0.18104319753933273,-0.16100921855988426,2011-07-26,2011-08-19,2012-01-18,1.0485446739406907,0.1731599459856336,-0.10046359452928641,2010-07-02,1400.0,1259.350967658999,1.3032011841882651
2010-04-01,QLD,26200.0,67298.11538898193,41098.115388981925,0.3929114624575759,262.0,1.0,2010-04-01,2015-04-01,1.5686303583580887,0.3387132665131203,-0.3076730999970333,2011-07-26,2011-08-19,2012-02-01,1.0216994958345318,0.34388663706654665,-0.20119790444197064,2010-07-02,1400.0,1118.322933781241,3.3089339802787237
2010-04-01,TQQQ,26200.0,102537.92003949516,76337.92003949516,0.5833505984987413,262.0,1.0,2010-04-01,2015-04-01,2.913661070209739,0.4835399141434864,-0.43912691077733623,2011-07-22,2011-08-19,2012-02-08,1.0275591196870653,0.5132259010769827,-0.29156710550657294,2010-07-02,1400.0,991.8060522907979,6.200808916947781
2010-05-01,QQQ,26100.0,43927.66060044217,17827.66060044217,0.21252900858963975,261.0,1.0,2010-05-03,2015-05-01,0.6830521302851407,0.18483308859377656,-0.16101052572972163,2011-07-26,2011-08-19,2012-01-18,1.067380350158737,0.1728916947300674,-0.0828165452640528,2010-07-02,900.0,825.4651092623525,1.3381989129547884
2010-05-01,QLD,26100.0,70518.11282687307,44418.11282687307,0.4162187402898291,261.0,1.0,2010-05-03,2015-05-01,1.70184340332847,0.3474733607953431,-0.3076741581489748,2011-07-26,2011-08-19,2012-02-01,1.0405420050517369,0.3434906648743646,-0.16659410134688263,2010-07-02,900.0,750.0653087878056,3.4444325067698394
2010-05-01,TQQQ,26100.0,110696.00520447188,84596.00520447188,0.6227957113878444,261.0,1.0,2010-05-03,2015-05-01,3.2412262530448994,0.49829810092858784,-0.4391279618486119,2011-07-22,2011-08-19,2012-02-08,1.0467425734085714,0.5125113168352871,-0.24168720066538424,2010-07-02,900.0,682.4815194011542,6.549250712085983
2010-06-01,QQQ,26200.0,43988.82933753475,17788.82933753475,0.21150056648775106,262.0,1.0,2010-06-01,2015-06-01,0.6789629518143034,0.2078965985622807,-0.16101178573741493,2011-07-26,2011-08-19,2012-01-18,1.2109489298200085,0.1677730315670729,-0.07250972203695369,2010-07-02,500.0,463.74513898152316,1.577076641919203
