date,synthetic_nav,deposit,deposited,equity,profit,profit_on_deposited,initial_dollar_value,nav_drawdown
2000-05-03,252.81177677831224,0.0,600.0,496.91433011077163,-103.08566988922837,-0.1718094498153806,0.5319601417343125,-0.4677738781948204
2000-05-04,253.96849065316846,0.0,600.0,499.1879097184101,-100.81209028158992,-0.1680201504693165,0.534394069792,-0.46533873317310404
2000-05-05,270.6417603041239,0.0,600.0,531.9600642633543,-68.0399357366457,-0.11339989289440955,0.5694775417715282,-0.43023771945758604
2000-05-08,245.98351797462607,100.0,700.0,583.443067164243,-116.55693283575704,-0.16650990405108146,0.5175922923908357,-0.4821489114629689
2000-05-09,235.17445322917746,0.0,700.0,557.8052767131284,-142.19472328687164,-0.20313531898124515,0.4948481319435702,-0.504904443990458
2000-05-10,207.8240011153992,0.0,700.0,492.93332187248905,-207.06667812751095,-0.29580954018215855,0.4372980028777824,-0.5624833481207787
2000-05-11,225.3069609246458,0.0,700.0,534.4007818803918,-165.59921811960817,-0.2365703115994402,0.4740852043941792,-0.5256777530036236
2000-05-12,228.5409039177545,0.0,700.0,542.0713023870879,-157.92869761291206,-0.22561242516130298,0.4808899853853881,-0.5188695696219192
2000-05-15,242.58605930735234,100.0,800.0,675.3347323001659,-124.66526769983409,-0.15583158462479263,0.5104434458568223,-0.4893013324202493
2000-05-16,261.15401893063,0.0,800.0,727.0260293077118,-72.97397069228816,-0.09121746336536019,0.5495136765192854,-0.450211566642455
2000-05-17,247.28761020745984,0.0,800.0,688.4233682571764,-111.57663174282357,-0.13947078967852944,0.5203363302590605,-0.47940350157581
2000-05-18,229.9348836059127,0.0,800.0,640.1151554621198,-159.8848445378802,-0.19985605567235032,0.48382316216194954,-0.5159349262569695
2000-05-19,207.63768328836463,0.0,800.0,578.0420344819229,-221.95796551807712,-0.2774474568975964,0.43690595762205897,-0.56287558939913
2000-05-22,208.00275154774178,100.0,900.0,679.0083720964684,-220.9916279035316,-0.2455462532261462,0.4376741250131346,-0.5621070379243589
2000-05-23,177.20455839025982,0.0,900.0,578.4701299637699,-321.52987003623014,-0.35725541115136683,0.37286934650955533,-0.6269442188171899
2000-05-24,195.55290224000728,0.0,900.0,638.3668332303307,-261.6331667696693,-0.29070351863296584,0.411477467220089,-0.588316794046301
2000-05-25,185.54003957138505,0.0,900.0,605.680642638827,-294.31935736117305,-0.32702150817908116,0.39040865503007305,-0.609396140642412
2000-05-26,185.75267144738956,0.0,900.0,606.3747624180478,-293.6252375819522,-0.32625026397994694,0.3908560696415996,-0.6089485023235797
2000-05-30,223.0189453868213,100.0,1000.0,827.977562733897,-172.022437266103,-0.172022437266103,0.46927082001184595,-0.5304945445781482
2000-05-31,211.21057056829423,0.0,1000.0,784.1379266656058,-215.86207333439415,-0.2158620733343941,0.4444239366025189,-0.5553538514291798
2000-06-01,235.92562001312723,0.0,1000.0,875.8947339928358,-124.10526600716423,-0.1241052660071642,0.49642871807744493,-0.5033230675635163
2000-06-02,267.60358789751683,0.0,1000.0,993.5019919582368,-6.498008041763228,-0.006498008041763259,0.5630846962932529,-0.43663376135860055
2000-06-05,263.79387721621623,100.0,1100.0,1079.3081290390298,-20.691870960970164,-0.018810791782700176,0.5550683995059061,-0.4446540662943409
2000-06-06,251.85036570873967,0.0,1100.0,1030.441456334853,-69.558543665147,-0.06323503969558819,0.5299371648961597,-0.4697978665213922
2000-06-07,264.17917811792574,0.0,1100.0,1080.8845810769985,-19.11541892300147,-0.017377653566365003,0.5558791399108657,-0.44384292051917895
