date,synthetic_nav,deposit,deposited,equity,profit,profit_on_deposited,initial_dollar_value,nav_drawdown
2000-03-27,243.02682761154065,100.0,100.0,99.95002498750625,-0.04997501249374636,-0.0004997501249374148,0.9995002498750625,0.0
2000-03-28,236.75698985144336,0.0,100.0,97.37141896714121,-2.62858103285879,-0.0262858103285879,0.9737141896714122,-0.025798953233752142
2000-03-29,228.0021341089844,0.0,100.0,93.77079569924635,-6.229204300753651,-0.062292043007536546,0.9377079569924636,-0.06182318902904027
2000-03-30,219.54368527690949,0.0,100.0,90.29207616679716,-9.707923833202841,-0.09707923833202836,0.9029207616679715,-0.09662777795119448
2000-03-31,227.16904364060017,0.0,100.0,93.42816927421252,-6.571830725787478,-0.06571830725787475,0.9342816927421251,-0.06525116641150386
2000-04-03,210.59902327591794,100.0,200.0,186.563415968432,-13.436584031568003,-0.06718292015784,0.8661339098092574,-0.13343302323583806
2000-04-04,208.3843900884975,0.0,200.0,184.60153824395223,-15.398461756047766,-0.07699230878023888,0.8570257531256402,-0.14254573399779702
2000-04-05,208.181413931967,0.0,200.0,184.4217276990911,-15.578272300908907,-0.07789136150454457,0.8561909698995875,-0.14338093461546275
2000-04-06,211.0973052084033,0.0,200.0,187.00482912407625,-12.995170875923748,-0.06497585437961872,0.86818320173691,-0.13138270666222163
2000-04-07,221.67504263441344,0.0,200.0,196.37533235204273,-3.624667647957267,-0.01812333823978629,0.9116864285383114,-0.08785772824741955
2000-04-10,206.52271192924525,100.0,300.0,282.9023578770306,-17.097642122969376,-0.05699214040989797,0.8493692001283972,-0.1502061152715386
2000-04-11,201.9218745123318,0.0,300.0,276.5999626523369,-23.4000373476631,-0.07800012449221039,0.830447263842458,-0.16913751252562081
2000-04-12,187.68607214563698,0.0,300.0,257.0992403434552,-42.90075965654478,-0.14300253218848258,0.7718994559213221,-0.22771459435071728
2000-04-13,183.5623383476588,0.0,300.0,251.45039909104653,-48.549600908953465,-0.1618320030298449,0.7549397111803604,-0.24468281896404942
2000-04-14,165.69706419637035,0.0,300.0,226.97789369778687,-73.02210630221313,-0.2434070210073771,0.6814649176615096,-0.31819434987965967
2000-04-17,182.3000755599159,100.0,400.0,349.6713303843191,-50.328669615680894,-0.1258216740392022,0.7497483831934205,-0.24987674261498283
2000-04-18,191.92500459959368,0.0,400.0,368.13298889884146,-31.86701110115854,-0.07966752775289632,0.7893329799835521,-0.21027235352645612
2000-04-19,185.0677925496989,0.0,400.0,354.9801119576247,-45.01988804237533,-0.11254972010593833,0.7611312163154219,-0.2384882180764204
2000-04-20,181.04952385216185,0.0,400.0,347.2726364834983,-52.727363516501725,-0.13181840879125428,0.7446052195490356,-0.2550224778411899
2000-04-24,173.20723018080687,100.0,500.0,432.18029106657787,-67.81970893342213,-0.1356394178668443,0.7123520952287776,-0.287291728723608
2000-04-25,187.0492333423286,0.0,500.0,466.7183467184478,-33.281653281552224,-0.0665633065631045,0.7692803189754442,-0.23033504086506806
2000-04-26,181.0661427018946,0.0,500.0,451.78955967092526,-48.21044032907474,-0.09642088065814947,0.7446735681532772,-0.2549540950626462
2000-04-27,190.71846735963192,0.0,500.0,475.87368407898515,-24.12631592101485,-0.04825263184202966,0.7843708353319627,-0.21523697925037133
2000-04-28,194.88056451062664,0.0,500.0,486.25879534880096,-13.741204651199041,-0.027482409302398092,0.801488357637249,-0.19811089818393235
2000-05-01,197.80382883506945,100.0,600.0,593.5028416383246,-6.4971583616753605,-0.01082859726945895,0.813510912724878,-0.18608233181875966
2000-05-02,187.34246928564588,0.0,600.0,562.1139314410398,-37.88606855896023,-0.06314344759826707,0.7704863150438556,-0.22912844179862257
2000-05-03,183.9799496129067,0.0,600.0,552.0248194527198,-47.97518054728016,-0.0799586342454669,0.7566572275881913,-0.24296444379801463
2000-05-04,184.421254346557,0.0,600.0,553.3489374690009,-46.65106253099907,-0.0777517708849984,0.7584721884955508,-0.24114857541020152
2000-05-05,190.49543170054764,0.0,600.0,571.5742748724266,-28.4257251275734,-0.0473762085459557,0.783453553074787,-0.21615472014867565
2000-05-08,181.87993747855955,100.0,700.0,645.6738381525812,-54.3261618474188,-0.0776088026391697,0.7480204747093048,-0.2516055150533406
2000-05-09,177.90391383816728,0.0,700.0,631.5589529152795,-68.44104708472048,-0.09777292440674357,0.7316682198527611,-0.2679659460373126
2000-05-10,167.578351846004,0.0,700.0,594.9032044309346,-105.09679556906542,-0.15013827938437918,0.6892021189177483,-0.3104532800227928
2000-05-11,174.64538656402524,0.0,700.0,619.9911800152686,-80.00881998473142,-0.11429831426390202,0.7182668235676745,-0.2813740430205417
2000-05-12,175.91815112038788,0.0,700.0,624.5094946109513,-75.49050538904874,-0.10784357912721243,0.7235013423433134,-0.27613690698551496
2000-05-15,181.3827359569217,100.0,800.0,743.8587975739688,-56.141202426031214,-0.07017650303253897,0.7459756262043091,-0.25365138598258874
2000-05-16,188.345257859565,0.0,800.0,772.4124145610492,-27.587585438950782,-0.03448448179868846,0.7746104993573919,-0.22500219539292943
2000-05-17,183.36610986153863,0.0,800.0,751.9927035934388,-48.00729640656118,-0.06000912050820151,0.7541326792043549,-0.245490254456043
2000-05-18,176.95335260615565,0.0,800.0,725.6936962708463,-74.30630372915368,-0.09288287966144215,0.7277588317483505,-0.27187728883577533
2000-05-19,168.3943108684026,0.0,800.0,690.5926792868348,-109.40732071316518,-0.13675915089145652,0.6925579264011871,-0.3070957946356123
2000-05-22,168.6015840682837,100.0,900.0,791.3927410345622,-108.60725896543784,-0.12067473218381986,0.6934103821448991,-0.3062429126640285
2000-05-23,156.13927295497624,0.0,900.0,732.8963597218484,-167.1036402781516,-0.18567071142016844,0.6421564395485629,-0.35752248223166283
2000-05-24,164.24108372685774,0.0,900.0,770.9251497212704,-129.07485027872963,-0.14341650030969955,0.6754768839230403,-0.3241853776349982
2000-05-25,160.05547076362302,0.0,900.0,751.2784558056155,-148.72154419438448,-0.1652461602159827,0.6582626477675142,-0.3414082209086021
