years,three_x_wins,windows,median_index_log_growth,median_index_volatility,median_index_last_two_year_return
5,True,194,0.16079467723358787,0.22378031726091957,0.4329006932499878
5,False,76,0.03429868901147255,0.2630057961599447,0.07232321637716432
10,True,160,0.16359494918989947,0.2183385056542153,0.4667686533604807
10,False,50,0.02715948941089237,0.28585412902806584,0.2763299511237739
