scenario,years,window_start,leverage,index_log_growth,index_volatility,index_last_two_year_return,actual_start,actual_end,contributed,final_value,profit,roi,worst_loss_on_deposits,lump_return,max_nav_drawdown
ideal_no_cost,5,1999-04-01,1,-0.07692110519036953,0.44150638340115345,-0.013572277441659564,1999-04-01,2004-04-01,26200.0,23515.194266758917,-2684.8057332410826,-0.10247350126874366,-0.5759442018924338,-0.3197339114929165,-0.8287281903572384
ideal_no_cost,5,1999-04-01,2,-0.07692110519036953,0.44150638340115345,-0.013572277441659564,1999-04-01,2004-04-01,26200.0,20559.421614675455,-5640.578385324545,-0.21528925134826504,-0.829581665767849,-0.8228880210447903,-0.9856503349064568
ideal_no_cost,5,1999-04-01,3,-0.07692110519036953,0.44150638340115345,-0.013572277441659564,1999-04-01,2004-04-01,26200.0,19734.45942720712,-6465.540572792881,-0.24677635774018625,-0.9320343981310875,-0.9825083618755796,-0.9994173376919726
ideal_no_cost,5,1999-05-01,1,-0.08354016390619977,0.4396673606213553,0.10134765411253399,1999-05-03,2004-04-30,26100.0,22728.824989902572,-3371.1750100974277,-0.12916379349032292,-0.5745403110354802,-0.3414367034319423,-0.8287281903572384
ideal_no_cost,5,1999-05-01,2,-0.08354016390619977,0.4396673606213553,0.10134765411253399,1999-05-03,2004-04-30,26100.0,19315.15369039313,-6784.84630960687,-0.25995579730294516,-0.8266649345010473,-0.8324964292503751,-0.9856503349064568
ideal_no_cost,5,1999-05-01,3,-0.08354016390619977,0.4396673606213553,0.10134765411253399,1999-05-03,2004-04-30,26100.0,17805.97402576022,-8294.02597423978,-0.3177787729593785,-0.9312923081367375,-0.9836864821332527,-0.9994173376919726
ideal_no_cost,5,1999-06-01,1,-0.0632178489027307,0.43776156546643474,0.271881781543867,1999-06-01,2004-06-01,26200.0,24067.9642625036,-2132.0357374964005,-0.08137540982810687,-0.5734826054880889,-0.27146923503159615,-0.8287281903572384
ideal_no_cost,5,1999-06-01,2,-0.0632178489027307,0.43776156546643474,0.271881781543867,1999-06-01,2004-06-01,26200.0,21650.88114350136,-4549.1188564986405,-0.17363049070605496,-0.8242731726479278,-0.7934191506855756,-0.9856503349064568
ideal_no_cost,5,1999-06-01,3,-0.0632178489027307,0.43776156546643474,0.271881781543867,1999-06-01,2004-06-01,26200.0,20950.839271610042,-5249.1607283899575,-0.2003496461217541,-0.9308114446890233,-0.9773902266153653,-0.9994173376919726
ideal_no_cost,5,1999-07-01,1,-0.08768137726844348,0.4358337902057168,0.4982049461483844,1999-07-01,2004-07-01,26200.0,24532.031288220325,-1667.9687117796748,-0.06366292793052197,-0.5724959709012412,-0.3553809851512192,-0.8287281903572384
ideal_no_cost,5,1999-07-01,2,-0.08768137726844348,0.4358337902057168,0.4982049461483844,1999-07-01,2004-07-01,26200.0,22544.67654768626,-3655.32345231374,-0.1395161623020511,-0.8220987880646038,-0.8368372764354107,-0.9856503349064568
ideal_no_cost,5,1999-07-01,3,-0.08768137726844348,0.4358337902057168,0.4982049461483844,1999-07-01,2004-07-01,26200.0,22090.841314022615,-4109.158685977385,-0.15683811778539636,-0.9304723217868406,-0.9839235168827595,-0.9994173376919726
ideal_no_cost,5,1999-08-01,1,-0.095143017858009,0.43511147947785095,0.434181055546506,1999-08-02,2004-07-30,26100.0,23163.283286541115,-2936.7167134588854,-0.11251788174171973,-0.5700170362514048,-0.37851196756556815,-0.8287281903572384
ideal_no_cost,5,1999-08-01,2,-0.095143017858009,0.43511147947785095,0.434181055546506,1999-08-02,2004-07-30,26100.0,20185.755933867287,-5914.244066132713,-0.22659938950700054,-0.8197845134878223,-0.8477223984145904,-0.9856503349064568
ideal_no_cost,5,1999-08-01,3,-0.095143017858009,0.43511147947785095,0.434181055546506,1999-08-02,2004-07-30,26100.0,18555.050097341493,-7544.949902658507,-0.2890785403317435,-0.9291077326276066,-0.9854141753583145,-0.9994173376919726
