date,synthetic_nav,deposit,deposited,equity,profit,profit_on_deposited,initial_dollar_value,nav_drawdown
2000-03-27,945.5964477083631,100.0,100.0,99.95002498750625,-0.04997501249374636,-0.0004997501249374148,0.9995002498750625,0.0
2000-03-28,872.4257961622676,0.0,100.0,92.21584994052053,-7.784150059479472,-0.07784150059479478,0.9221584994052053,-0.07738042134509215
2000-03-29,775.6578375970232,0.0,100.0,81.98742755163997,-18.012572448360032,-0.1801257244836003,0.8198742755163997,-0.17971578734584215
2000-03-30,689.3442628659838,0.0,100.0,72.86403884598664,-27.13596115401336,-0.27135961154013355,0.7286403884598665,-0.2709952913459036
2000-03-31,761.1840832700469,0.0,100.0,80.45754436505415,-19.542455634945853,-0.19542455634945854,0.8045754436505415,-0.19502226862763328
2000-04-03,594.6562005950416,100.0,200.0,162.8054875397312,-37.19451246026881,-0.18597256230134407,0.6285546255222493,-0.3711310971649896
2000-04-04,575.9059833905064,0.0,200.0,157.67203689983944,-42.32796310016056,-0.2116398155008028,0.6087355506657789,-0.3909600815588883
2000-04-05,574.2325721295678,0.0,200.0,157.21388892136218,-42.786111078637816,-0.21393055539318906,0.6069667464602371,-0.3927297701665329
2000-04-06,598.3709630844264,0.0,200.0,163.82251841836901,-36.177481581630985,-0.18088740790815494,0.6324811483485192,-0.36720261107730656
2000-04-07,688.3309423296544,0.0,200.0,188.4518391341506,-11.548160865849411,-0.05774080432924711,0.7275693035042078,-0.2720669118440402
2000-04-10,547.2147883961983,100.0,300.0,249.76696177324328,-50.23303822675672,-0.1674434607558557,0.5784088117746556,-0.42130198381945705
2000-04-11,510.6518311604459,0.0,300.0,233.07841655138623,-66.92158344861377,-0.22307194482871262,0.5397615801973046,-0.4599685390125968
2000-04-12,402.65500959587956,0.0,300.0,183.7850886382179,-116.2149113617821,-0.387383037872607,0.42560839106351045,-0.5741788047409578
2000-04-13,376.12089405131826,0.0,300.0,171.67403907698622,-128.32596092301378,-0.4277532030767126,0.3975616961110541,-0.6022395230408903
2000-04-14,266.3087511613702,0.0,300.0,121.55213835895707,-178.44786164104295,-0.5948262054701431,0.2814897031125461,-0.7183695520358977
2000-04-17,346.375092920673,100.0,400.0,258.04709478029764,-141.95290521970236,-0.35488226304925585,0.36612023317528875,-0.6336967067081236
2000-04-18,401.24366622016055,0.0,400.0,298.9238097175209,-101.0761902824791,-0.25269047570619774,0.4241165939442326,-0.5756713477587954
2000-04-19,358.24263657449467,0.0,400.0,266.88833430541666,-133.11166569458334,-0.33277916423645837,0.37866428711726835,-0.621146380739173
2000-04-20,334.9135872078031,0.0,400.0,249.5083507670518,-150.4916492329482,-0.37622912308237044,0.3540053634000049,-0.6458176339182952
2000-04-24,291.4145217168118,100.0,500.0,317.0518670158396,-182.9481329841604,-0.3658962659683208,0.30802663015397364,-0.6918193565309494
2000-04-25,361.28523039234267,0.0,500.0,393.0694879112875,-106.93051208871248,-0.21386102417742492,0.3818803242423838,-0.617928735595495
2000-04-26,326.6221855227462,0.0,500.0,355.35694349993133,-144.64305650006867,-0.2892861130001373,0.3452413096896584,-0.6545860696554968
2000-04-27,378.8625555449685,0.0,500.0,412.19318745773666,-87.80681254226334,-0.17561362508452671,0.4004596462404325,-0.5993401239364473
