scenario,start_label,years,leverage,actual_start,actual_end,contributed,final_value,profit,roi,worst_loss_on_deposits,lump_return,max_nav_drawdown
ideal_no_cost,2000_year_start,5,1,2000-01-03,2005-01-03,26200.0,27731.214975325667,1531.2149753256672,0.05844331966891869,-0.5536837847010804,-0.5741925964297145,-0.8287281903572384
ideal_no_cost,2000_year_start,5,2,2000-01-03,2005-01-03,26200.0,28622.655042149923,2422.6550421499232,0.09246774970037874,-0.8158429952231591,-0.9267650794664879,-0.9856503349064568
ideal_no_cost,2000_year_start,5,3,2000-01-03,2005-01-03,26200.0,29888.295894401934,3688.2958944019338,0.14077465245808907,-0.9172354354274301,-0.9949596758684673,-0.9994173376919726
ideal_no_cost,2000_year_start,10,1,2000-01-03,2009-12-31,52200.0,63072.740730705314,10872.740730705314,0.2082900523123623,-0.5536837847010804,-0.4931279617565185,-0.8287281903572384
ideal_no_cost,2000_year_start,10,2,2000-01-03,2009-12-31,52200.0,58333.8408235984,6133.8408235984025,0.11750652918770887,-0.8158429952231591,-0.9253943036105821,-0.9856503349064568
ideal_no_cost,2000_year_start,10,3,2000-01-03,2009-12-31,52200.0,44226.908712982244,-7973.091287017756,-0.15274121239497618,-0.9172354354274301,-0.9968600229259552,-0.9996162346512784
ideal_no_cost,2000_peak,5,1,2000-03-27,2005-03-24,26100.0,26059.374185623743,-40.62581437625704,-0.0015565446121171833,-0.5315256789056517,-0.6852148931163395,-0.8287281903572384
ideal_no_cost,2000_peak,5,2,2000-03-27,2005-03-24,26100.0,24925.35787432157,-1174.6421256784306,-0.04500544542829232,-0.792480260827428,-0.9579799076290771,-0.9856503349064568
ideal_no_cost,2000_peak,5,3,2000-03-27,2005-03-24,26100.0,23701.91902571996,-2398.080974280041,-0.09188049709885215,-0.9014475045565602,-0.9976423569022431,-0.9994173376919726
ideal_no_cost,2000_peak,10,1,2000-03-27,2010-03-26,52200.0,66965.02339109956,14765.02339109956,0.28285485423562373,-0.5315256789056517,-0.5706958555269429,-0.8287281903572384
ideal_no_cost,2000_peak,10,2,2000-03-27,2010-03-26,52200.0,65309.51590454463,13109.515904544627,0.251140151428058,-0.792480260827428,-0.9438683000150002,-0.9856503349064568
ideal_no_cost,2000_peak,10,3,2000-03-27,2010-03-26,52200.0,51816.06872972729,-383.9312702727111,-0.0073550051776380965,-0.9014475045565602,-0.997798041133909,-0.9996162346512784
ideal_no_cost,2002_trough,5,1,2002-10-07,2007-10-05,26100.0,38710.51309307305,12610.513093073052,0.4831614211905384,-0.05057545847145106,1.717050027528062,-0.17247563045995706
