scenario,symbol,start,end,actual_cagr,model_cagr,daily_return_correlation
ideal_no_cost,QQQ,2010-01-04,2026-09-16,0.18701191481808088,0.18948945243519377,0.9986671977050339
ideal_no_cost,QLD,2010-01-04,2026-09-16,0.3120732081437678,0.35438315288791844,0.9990412195430219
ideal_no_cost,TQQQ,2010-02-11,2026-09-16,0.4184117550052264,0.4961592877546759,0.9986264964767188
illustrative_cost,QQQ,2010-01-04,2026-09-16,0.18701191481808088,0.187112855618635,0.998666158808487
illustrative_cost,QLD,2010-01-04,2026-09-16,0.3120732081437678,0.31488326140585343,0.999028523561948
illustrative_cost,TQQQ,2010-02-11,2026-09-16,0.4184117550052264,0.42336596586375874,0.9986083420840121
higher_financing,QQQ,2010-01-04,2026-09-16,0.18701191481808088,0.187112855618635,0.998666158808487
higher_financing,QLD,2010-01-04,2026-09-16,0.3120732081437678,0.3018017192753064,0.9990224036922649
higher_financing,TQQQ,2010-02-11,2026-09-16,0.4184117550052264,0.39518010492914435,0.9985981029048239
